ID,Text,Comment
LV.QkB.SetQuickbar,设置快速栏,-
LV.QkB.SetQuickbarHotkey,Shift + [快捷栏键],-
LV.QkB.QuickbarHotkeyGroup,快速栏,-
LV.QkB.QuickbarAction1,快捷工具栏操作 1,-
LV.QkB.QuickbarAction2,快速栏操作 2,-
LV.QkB.QuickbarAction3,快速栏动作 3,-
LV.QkB.QuickbarAction4,快捷栏动作 4,-
LV.QkB.QuickbarAction5,快捷栏动作 5,-
LV.QkB.QuickbarAction6,快捷栏操作 6,-
LV.QkB.QuickbarAction7,快捷栏动作 7,-
LV.QkB.QuickbarAction8,快速栏动作8,-
LV.QkB.QuickbarAction9,快捷栏动作9,-
LV.QkB.QuickbarAction10,快捷栏动作 10,-
LV.QkB.QuickbarAction11,快捷栏动作 11,-
LV.QkB.QuickbarAction12,快速栏操作12,-
LV.QkB.QuickbarAction13,快速栏动作 13,-
LV.QkB.QuickbarAction14,快捷栏动作 14,-
LV.QkB.QuickbarAction15,快速栏操作15,-
LV.QkB.QuickbarAction16,快捷栏动作16,-
LV.QkB.QuickbarAction17,快速栏操作 17,-
LV.QkB.QuickbarAction18,快速栏动作 18,-
LV.QkB.QuickbarAction19,快速栏操作 19,-
LV.QkB.QuickbarAction20,快捷栏动作20,-
