ID,Text,Comment
ToolGroups.Nadca.ThoseMetalOverhangs,あのオーバーハング,-
ToolGroups.Nadca.ThosePlatforms,それらのプラットフォーム,-
Nadca.Subgroup_SomeMetalPlatforms.DisplayName,いくつかの金属プラットフォーム,-
Nadca.Subgroup_SomeMetalOverhangs.DisplayName,いくつかの金属オーバーハング,-
Nadca.Subgroup_SomePlatforms.DisplayName,いくつかのプラットフォーム,-
Nadca.Overhang8x1.DisplayName,オーバーハング 8x1,-
Nadca.Overhang9x1.DisplayName,オーバーハング 9x1,-
Nadca.Overhang10x1.DisplayName,オーバーハング 10x1,-
Nadca.Overhang11x1.DisplayName,オーバーハング 11x1,-
Nadca.Overhang12x1.DisplayName,オーバーハング 12x1,-
Nadca.Overhang13x1.DisplayName,オーバーハング 13x1,-
Nadca.Overhang10x5.DisplayName,オーバーハング 10x5,-
Nadca.Overhang.T.5x1.DisplayName,Tオーバーハング 5x1,-
Nadca.Overhang.T.10x1.DisplayName,Tオーバーハング 10x1,-
Nadca.Overhang3x3+22.DisplayName,ビッグ ロング 3x3+22,-
Nadca.Platform3x3x3.DisplayName,大型プラットフォーム 3x3x3,-
Nadca.Platform4x4x3.DisplayName,大きなプラットフォーム 4x4x3,-
Nadca.Platform5x5x3.DisplayName,メガプラットフォーム 5x5x3,-
Nadca.Platform5x5x3.Access.DisplayName,ハッチ付きメガプラットフォーム 5x5x3,-
Nadca.Platform10x10.Description,基礎の4つのコーナーに支えられた単一の高いプラットフォーム,-
Nadca.Platform10x10.DisplayName,ギガプラットフォーム 10x10,-
Nadca.RustedPlatform20x20.FlavorDescription,切られないで！,-
Nadca.RustedPlatform20x20.DisplayName,錆びたプラットフォーム 20x20,-
Nadca.PlatformMetalBlock.Description,プラットフォーム基礎用の透水ブロック,-
Nadca.PlatformMetalBlock.DisplayName,錆びたプラットフォームブロック,-
Nadca.PlatformMetalBase20x20.Description,さびたプラットフォーム用の水透過性ベース 20x20,-
Nadca.PlatformMetalBase20x20.DisplayName,20x20 錆びたベース,-
Nadca.PlatformWoodBlock.Description,いくつかのギガプラットフォーム用の水のバリアーブロック。堤防として使用できます。,-
Nadca.PlatformWoodBlock.DisplayName,木製プラットフォームブロック,-
Nadca.MetalPlatform1x1.Description,レッジプラットフォームの隙間を埋めるのに最適です。,-
Nadca.MetalPlatform1x1.DisplayName,メタルプラットフォーム 1x1,-
Nadca.MetalPlatform3x3.Corner.Description,最良いプラットフォームは隅にあります。,-
Nadca.MetalPlatform3x3.Corner.DisplayName,コーナーメタルプラットフォーム 3x3,-
Nadca.MetalPlatform4x4.Corner.Description,コーナープラットフォームは単独では存在しない,-
Nadca.MetalPlatform4x4.Corner.DisplayName,コーナーメタルプラットフォーム 4x4,-
Nadca.MetalPlatform4x4.Access.Description,角が削られたメタルプラットフォーム（アクセス用）,-
Nadca.MetalPlatform4x4.Access.DisplayName,ハッチ付きメタルプラットフォーム 4x4,-
Nadca.MetalPlatform5x10.Description,二者のニーズに合った一つのプラットフォーム,-
Nadca.MetalPlatform5x10.DisplayName,ビッグオーバーハング 10x5,-
Nadca.MetalPlatform15x15.Description,堅固な基盤,-
Nadca.MetalPlatform15x15.DisplayName,最大の金属プラットフォーム 15x15,-
Nadca.MetalPlatform5x5.Lip.Description,プラットフォームの拡張がこれほど簡単になったことはありません！,-
Nadca.MetalPlatform5x5.Lip.DisplayName,メタルプラットフォーム 5x5 レッジ A,-
Nadca.MetalPlatform5x5.Lip2.Description,上層へのシームレスなアクセスに最適です,-
Nadca.MetalPlatform5x5.Lip2.DisplayName,メタルプラットフォーム 5x5 レッジ B,-
Nadca.MetalPlatform5x5.Lip2b.Description,プラットフォームの下にネットワークを作成してください。,-
Nadca.MetalPlatform5x5.Lip2b.DisplayName,メタルプラットフォーム 5x5 レッジ B ロング,-
Nadca.MetalPlatform5x5.Lip3.Description,今すぐあなたのプラットフォームを将来に備えましょう！,-
Nadca.MetalPlatform5x5.Lip3.DisplayName,メタルプラットフォーム 5x5 縁 C,-
Nadca.MetalPlatform5x5.Access.Description,金属プラットフォーム5x5、さらにシームレスなビルドのためのアクセスオープニング付き,-
Nadca.MetalPlatform5x5.Access.DisplayName,ハッチ付き金属プラットフォーム 5x5,-
Nadca.TunnelPlatform.DisplayName,水障壁トンネルプラットフォーム,-
Nadca.TunnelPlatform.Description,水が入るのを防ぐプラットフォーム。魔法で。,-
Nadca.WBTunnel.DisplayName,水障壁トンネル,-
Nadca.WBTunnel.Description,既知の物理学の制約を超え、水を全方向から反発する魔法のトンネル,-
