ID,Text,Comment
LV.CBv.Title,五彩斑斕的河狸,-
LV.CBv.Reset,重置,-
LV.CBv.ResetAll,重置所有設定,-
LV.CBv.ResetAllConfirm,您確定要根據當前設定重新分配所有海狸和機器人的顏色嗎？,-
LV.CBv.KeybindingCopy,複製河狸顏色,-
LV.CBv.KeybindingPaste,刺蝟的顏色,-
LV.CBv.AssignNamed,分配基於名稱的顏色,-
LV.CBv.AssignNamedDesc,一些有特殊名稱的海狸將會有特定的顏色。可編輯的檔案位於：Documents\Timberborn\ColorfulBeavers\ColorNames.txt,-
LV.CBv.AssignRandom,隨機分配顏色,-
LV.CBv.AssignRandomDesc,為每只海狸分配隨機顏色。可編輯顏色列表位於：Documents\Timberborn\ColorfulBeavers\RandomColors.txt,-
LV.CBv.ApplyToBot,申請機器人,-
LV.CBv.ApplyToBotDesc,也要隨機給機器人上色。,-
