ID,Text,Comment
LV.LGP.ScienceOverdrive,Global Science2Power™️ (S2P) Surmultiplicateur,-
LV.LGP.CurrentMul,Surmultiplication actuelle : x{0}P à {1}S/h,-
LV.LGP.SetMul,Cible Overdrive : x{0}P à {1}S/h,-
LV.LGP.PrevCost,Précédent : x{0}P coût : {1}S/h,-
LV.LGP.NextCost,Suivant : x{0}P coût : {1}S/h,-
LV.LGP.NoPrev,Déjà au minimum de multiplication,-
LV.LGP.NoNext,Suite : Déjà au maximum de la multiplication,-
LV.LGP.NoScience,Pas assez de science !,-
LV.LGP.BaseCost,Coût de la science de base,-
LV.LGP.BaseCostDesc,Le coût scientifique de base pour le calcul. C'est la valeur de départ pour une séquence Fibonacci personnalisée. Par défaut : 10. Ne soyez pas radin :P,-
LV.LGP.MaxMul,Multiplication maximale,-
LV.LGP.MaxMulDesc,La multiplication maximale de puissance que vous pouvez appliquer. Par défaut : 10.,-
