ID,Text,Comment
LV.MW.WeatherStart,{0} 开始了,-
LV.MW.WeatherEnd,{0} 结束了,-
LV.MW.WeatherApproaching,{0} 接近,-
LV.MW.WeatherInProgress,{0} 正在进行中,-
LV.MW.EnableWeather,启用 {0} 天气,-
LV.MW.EnableWeatherDesc,启用{0}天气,-
LV.MW.StartCycle,{0} 开始循环,-
LV.MW.StartCycleDesc,{0} 可以出现的最小周期,-
LV.MW.Chance,{0} 概率,-
LV.MW.ChanceDesc,{0} 发生的概率,-
LV.MW.MinDay,{0} 最低天数,-
LV.MW.MinDayDesc,{0} 可以发生的最早日期,-
LV.MW.MaxDay,{0} 最大天数,-
LV.MW.MaxDayDesc,{0} 可能发生的最大天数,-
LV.MW.HandicapPerc,{0} 残疾百分比,-
LV.MW.HandicapPercDesc,这种天气第一次出现时，其持续时间会乘以这个百分比。,-
LV.MW.HandicapCycles,{0} 残疾人自行车,-
LV.MW.HandicapCyclesDesc,达到完全（100%）持续时间的周期数。,-
LV.MW.Rain,雨,-
LV.MW.Monsoon,季风,-
LV.MW.ShortTemperate,令人失望的短期温和,-
LV.MW.ProgressiveTemperate,逐渐缩短的温度,-
LV.MW.SurprisinglyRefreshing,出乎意料的清新,-
LV.MW.RainEffect,启用雨效果,-
LV.MW.RainEffectDesc,在地图上启用雨效应。,-
LV.MW.MonsoonMultiplier,季风最大倍增器,-
LV.MW.MonsoonMultiplierDesc,最高额外乘数用于最大季风天气（无障碍）。这个值受到像持续时间这样的障碍影响。默认值：2.5（250%），这意味着当不应用障碍时（默认周期5），所有水源的强度为350%。,-
LV.MW.Profiles,个人资料,-
LV.MW.ProfilesDesc,支持的可调天气的导入和导出设置,-
LV.MW.ProfileImport,导入,-
LV.MW.ProfileExport,出口,-
LV.MW.ProfileError,出现错误：{0},-
LV.MW.SingleWeatherMode,单一天气模式,-
LV.MW.SWEnable,启用单一天气模式,-
LV.MW.SWEnableDesc,每个周期可能只会有一种天气。,-
LV.MW.SWStartCycle,单一天气启动周期,-
LV.MW.SWStartCycleDesc,单一天气可能发生的最小周期,-
LV.MW.SWChance,单一天气机会,-
LV.MW.SWChanceDesc,单一天气发生的机会,-
LV.MW.SWTemperateChance,单一天气温和几率,-
LV.MW.SWTemperateChanceDesc,单一天气出现时，单一天气温和的可能性。,-
