ID,Text,Comment
Lapantouflemagic.logstairs.DisplayName,茶色のログ階段,-
Lapantouflemagic.Birchlogstairs.DisplayName,バーチログ階段,-
Lapantouflemagic.Pinklogstairs.DisplayName,エヴァーブロッサムのログ階段,-
Lapantouflemagic.Scramblelogstairs.DisplayName,スクランブルド・ログ・ステアーズ,-
Lapantouflemagic.logstairs.Description,"原始の階段に並べられた一 bunch のログ
<color=green>""More groups"" モッドを使用すると、さらに多くのバリアントが利用可能です </color>",-
Lapantouflemagic.logstairs.FlavorDescription,"「そして<i>それ</i>が私たちに教育が必要な理由です」  
—ある科学者ビーバー",-
Lapantouflemagic.Crappyplatform_brown.DisplayName,ブラウン・クラッピー・プラットフォーム,-
Lapantouflemagic.Crappyplatform_birch.DisplayName,バーチクランピープラットフォーム,-
Lapantouflemagic.Crappyplatform_Pink.DisplayName,エバーブロッサム・クソプラットフォーム,-
Lapantouflemagic.Crappyplatform_scramble.DisplayName,混乱したクソプラットフォーム,-
Lapantouflemagic.Crappyplatform.Description,"プラットフォームとしては情けない言い訳であり、ビーバー族にとって恥ずべき存在です。  
<color=green>""More groups""モッドを使えば、さらに多くのバリアントが利用可能です</color>",-
Lapantouflemagic.Crappyplatform.FlavorDescription,"「<i>それにしても</i>、教育が必要な理由です」  
—科学者ビーバー",-
Logstairs.Logstairsgroup.Description,ログ階段,-
Logstairs.Crappyplatforms.Description,クソみたいなプラットフォーム,-
