ID,Text,Comment
Good.EcologicalPlank.PluralDisplayName,Produce planks from reclaimed sawdust.,-
Good.Dust.PluralDisplayName,Produce dirt,-
Grease.CriticalDescription,Need grease to operate.,-
Need.Grease.DeathMessage,Rusted because of lack of grease.,-
Building.NaturalOverhang1.Description,A protruding rock platform that can serve as a bridge or a foundation for other buildings.,-
Building.NaturalOverhang12.Description,A protruding rock that can serve as a foundation for other buildings. It prevents water and leaks.,-
Building.NaturalOverhang1x11.DisplayName,Stone Wall 1x1,-
Building.NaturalOverhang2x11.DisplayName,Stone Overhang 2x1,-
Building.NaturalOverhang3x11.DisplayName,Stone Overhang 3x1,-
Building.NaturalOverhang4x11.DisplayName,Stone Overhang 4x1,-
