ID,Text,Comment
Knatte.WaterAlarm.DisplayName,Сигнализация о воде,-
Knatte.WaterAlarm.Description,"Комбинированный потокомер и водяная сигнализация, которая будет предупреждать, если воды нет.",-
Knatte.WaterAlarm.FlavorDescription,Звонок Звонок,-
//,Error,-
Knatte.WaterAlarm11.DisplayName,Потоковый датчик 11 Высокий,-
Knatte.WaterAlarm11.Description,Большой потокомер.,-
Knatte.WaterAlarm11.FlavorDescription,Марио Прыжок,-
Knatte.MetalFloodgate.DisplayName,Металлический затвор,-
Knatte.MetalFloodgate.Description,"Более крупные и качественные затворы для наводнений, на которые можно ставить вещи сверху.",-
Knatte.Floodgate.DisplayName,Металлические затворы,-
Knatte.MetalFloodgate2.DisplayName,Металлический затвор 2 высокого типа,-
Knatte.MetalFloodgate3.DisplayName,Металлический затвор 3 Высокий,-
Knatte.MetalFloodgate4.DisplayName,Металлические затворы 4 высокий,-
Knatte.MetalFloodgate5.DisplayName,Металлический затвор 5 метров в высоту,-
Knatte.MetalFloodgate6.DisplayName,Металлический затвор 6 высоких,-
Knatte.MetalFloodgate7.DisplayName,Металлический затвор 7 высокая,-
Knatte.MetalFloodgate8.DisplayName,Металлический шлюз 8 высоких,-
Knatte.MetalFloodgate9.DisplayName,Металлический затвор 9 Высокий,-
Knatte.MetalFloodgate10.DisplayName,Металлический затвор 10 высоких,-
Knatte.Aqueduct_MetalFloodgate.DisplayName,Металлическая затворная арка 1 высокая,-
Knatte.Aqueduct_MetalFloodgate.Description,"Более крупные и лучшие затворы, на которые можно складывать вещи сверху в акведукном стиле.",-
Knatte.Aqueduct_Floodgate.DisplayName,Металлические затворы в стиле акведука,-
Knatte.Aqueduct_MetalFloodgate2.DisplayName,Акведук металлизированная затворная ворота 2 высокая,-
Knatte.Aqueduct_MetalFloodgate3.DisplayName,Металлическая затворная заслонка акведука 3 высокая,-
Knatte.Aqueduct_MetalFloodgate4.DisplayName,Металлический затвор акведука 4 высокий,-
Knatte.Aqueduct_MetalFloodgate5.DisplayName,Металлический затвор акведука 5 высокого,-
Knatte.Aqueduct_MetalFloodgate6.DisplayName,Акведук металлический затвор 6 высоких,-
Knatte.Aqueduct_MetalFloodgate7.DisplayName,Металлический затвор акведука 7 высокий,-
Knatte.Aqueduct_MetalFloodgate8.DisplayName,Акведук Металлический Затвор 8 Высокий,-
Knatte.Aqueduct_MetalFloodgate9.DisplayName,Металлическая водоприводная затворная дверь высотой 9 м,-
Knatte.Aqueduct_MetalFloodgate10.DisplayName,Акведук металлическая затвор для затопления 10 высокий,-
