ID,Text,Comment
Nadca.Subgroup_SomeMetalPlatforms.DisplayName,Metallplattformen,-
Nadca.Subgroup_SomeMetalOverhangs.DisplayName,Metallene Überhänge,-
Nadca.Subgroup_SomePlatforms.DisplayName,Zusätzliche Plattformen,-
Nadca.Overhang8x1.DisplayName,Nawis 8x1,-
Nadca.Overhang9x1.DisplayName,Nawis 9x1,-
Nadca.Overhang10x1.DisplayName,Nawis 10x1,-
Nadca.Overhang11x1.DisplayName,Nawis 11x1,-
Nadca.Overhang12x1.DisplayName,Nawis 12x1,-
Nadca.Overhang13x1.DisplayName,Nawis 13x1,-
Nadca.Overhang10x5.DisplayName,Nawis 10x5,-
Nadca.Overhang.T.5x1.DisplayName,Nawis 5x1 in T-Form,-
Nadca.Overhang.T.10x1.DisplayName,Nawis 10x1 in Form eines T,-
Nadca.Overhang3x3+22.DisplayName,Plattform 3x3 mit herausgezogenem 22x1,-
Nadca.Platform3x3x3.DisplayName,Große Plattform 3x3x3,-
Nadca.Platform4x4x3.DisplayName,Größere Plattform 4x4x3,-
Nadca.Platform5x5x3.DisplayName,Mega Plattform 5x5x3,-
Nadca.Platform5x5x3.Access.DisplayName,Mega Plattform 5x5x3 mit mittlerer Vertiefung,-
Nadca.Platform10x10.Description,Hohe Plattform. Ich benötige ein solides Objekt nur an den 4 Ecken.,-
Nadca.Platform10x10.DisplayName,Giga Plattform 10x10,-
Nadca.RustedPlatform20x20.FlavorDescription,Schneide dich nicht!,-
Nadca.RustedPlatform20x20.DisplayName,Rostige Plattform 20x20,-
Nadca.RustedPlatform20x20.Description,Plattform 20 auf 20 aus Schrott,-
Nadca.PlatformMetalBlock.Description,Solide Basisblock. Lässt Wasser durch.,-
Nadca.PlatformMetalBlock.DisplayName,Block der verrosteten Plattform,-
Nadca.PlatformMetalBase20x20.Description,"Set von 4 Untersetzern (1x1x1), die so angeordnet sind, dass sie eine Plattform von 20x20 unterstützen.",-
Nadca.PlatformMetalBase20x20.DisplayName,Untersetzer 20x20,-
Nadca.PlatformWoodBlock.Description,"Eigentlich ist das ein Damm, aber anders.",-
Nadca.PlatformWoodBlock.DisplayName,Block aus Holzplattform,-
Nadca.MetalPlatform1x1.Description,Füllen Sie die Lücken in den Plattformen im Stil aus.,-
Nadca.MetalPlatform1x1.DisplayName,Metallplattform 1x1,-
Nadca.MetalPlatform3x3.Corner.Description,Die besten Plattformen sind die in der Ecke.,-
Nadca.MetalPlatform3x3.Corner.DisplayName,Eckige Metallplattform 3x3,-
Nadca.MetalPlatform4x4.Corner.Description,Denn keine Eckplattform kommt allein vor.,-
Nadca.MetalPlatform4x4.Corner.DisplayName,Eckige Metallplattform 4x4,-
Nadca.MetalPlatform5x10.Description,Eine Plattform statt zwei 5x5,-
Nadca.MetalPlatform5x10.DisplayName,Großer Überhang 10x5,-
Nadca.MetalPlatform15x15.Description,"Solide Basis für alles, was du brauchst. Begrenze dich nicht!",-
Nadca.MetalPlatform15x15.DisplayName,Große Plattform 15x15,-
Nadca.MetalPlatform5x5.Lip.Description,Die Expansion von Plattformen war nie einfacher!,-
Nadca.MetalPlatform5x5.Lip.DisplayName,Metallplattform 5x5 Kante A,-
Nadca.MetalPlatform5x5.Lip2.Description,"Ausgezeichnet, um problemlos ein höheres Niveau zu erreichen.",-
Nadca.MetalPlatform5x5.Lip2.DisplayName,Metallplattform 5x5 Kante B,-
Nadca.MetalPlatform5x5.Lip2b.Description,Erstelle Wege unter deinen Plattformen.,-
Nadca.MetalPlatform5x5.Lip2b.DisplayName,Metallplattform 5x5 Ledge B Lang,-
Nadca.MetalPlatform5x5.Lip3.Description,Bau heute die Plattformen der Zukunft!,-
Nadca.MetalPlatform5x5.Lip3.DisplayName,Metal Plattform 5x5 Ledge C,-
Nadca.MetalPlatform5x5.Access.Description,Metallplattform 5x5 mit einer Zugangsöffnung für noch nahtlosere Konstruktionen,-
Nadca.MetalPlatform5x5.Access.DisplayName,Metallplattform 5x5 mit seitlicher Aussparung,-
Nadca.TunnelPlatform.DisplayName,Wasserfeste Tunnelplattform,-
Nadca.TunnelPlatform.Description,"Plattform widerstandsfähig gegen das Auslaufen, dank Magie :)",-
