ID,Text,Comment
LV.WSP.WeatherGroup,环境调控,-
LV.WSP.WeatherGroupDesc,与天气和水源相关的自然科学项目。,-
LV.WSP.Ext1,风嗅图腾,-
LV.WSP.Ext1Desc,恶劣天气的预警提前 {0:+#} 天。,-
LV.WSP.Ext1Lore,一根杆子，可以感知风向和风力。,-
LV.WSP.Ext2,雾织罗盘,-
LV.WSP.Ext2Desc,恶劣天气的预警提前 {0:+#} 天。,-
LV.WSP.Ext2Lore,一个罗盘，可以测量湿度和气压。,-
LV.WSP.Ext3,雷鸣高塔,-
LV.WSP.Ext3Desc,每级使恶劣天气的预警额外提前 {0:+#} 天。,-
LV.WSP.Ext3Lore,一座高塔，可以检测空气中的电荷。,-
LV.WSP.PrewarningCost,每级花费 [Cost] 点（仅在预警前有花费）。,-
LV.WSP.Pred1,天气预报,-
LV.WSP.Pred1Desc,预测本周期的恶劣天气。首日准确度 {0:#%}，每天增加 {1:+#%}。,-
LV.WSP.Pred1Lore,海狸们观察云层和风向，预测准确度随时间推移越发精准。,-
LV.WSP.Pred2,星象校准,-
LV.WSP.Pred2Desc,天气预报的首日准确度额外提高 {0:+#%}。,-
LV.WSP.Pred2Lore,星辰从不说谎，只需学会提问，一切皆有所答。,-
LV.WSP.Pred3,水文分析,-
LV.WSP.Pred3Desc,天气预报的每天增加准确度额外提高 {1:+#%}。,-
LV.WSP.Pred3Lore,通过研究水流规律，海狸们持续优化天气预报工作流程。,-
LV.WSP.IncreaseStr,恒流者之管,-
LV.WSP.IncreaseStrDesc,可以提高水源的强度。,-
LV.WSP.IncreaseStrLore,水流越大，能量越大，这是很浅显的道理。,-
LV.WSP.IncreaseStrFresh,增加淡水资源,-
LV.WSP.IncreaseStrFreshDesc,每级提高所有水源的强度 {0:+#%}。,-
LV.WSP.IncreaseStrBad,增加恶水资源,-
LV.WSP.IncreaseStrBadDesc,每级提高所有恶水源的强度 {0:+#%}。,-
LV.WSP.DecreaseStr,破潮者之门,-
LV.WSP.DecreaseStrDesc,可以降低水源的强度。,-
LV.WSP.DecreaseStrLore,有时候需要的不是随波逐流，而是驯服河流。,-
LV.WSP.DecreaseStrFresh,减少淡水资源,-
LV.WSP.DecreaseStrFreshDesc,每级降低所有水源的强度 {0:#%}。,-
LV.WSP.DecreaseStrBad,减少恶水资源,-
LV.WSP.DecreaseStrBadDesc,每级降低所有恶水源的强度 {0:#%}。,-
LV.WSP.StrCostFresh,每个水源消耗 [Cost] 点。不活跃的水源不被计入（例如干旱期时的水源）。,-
LV.WSP.StrCostBad,每个恶水源消耗 [Cost] 点。不活跃的恶水源不被计入（例如干旱期时或被建筑封堵的恶水源）。,-
LV.WSP.ForecastText,{0:#%} {1}，持续 {2}-{3} 天,-
LV.WSP.Forecast1DayText,{0:#%} {1}，持续 {2} 天,-
LV.WSP.DecreaseStrBuffDesc,土木工程的奇迹，这道闸门驯服了狂野的河流，平息水流以保护我们的土地。,-
LV.WSP.IncreaseStrBuffDesc,征服自然的力量，这条导管释放出汹涌的水流，征服河流以顺从我们的意志。,-
LV.WSP.StrBuffEffect,水力: {0:+#%;-#%;0%},-
