ID,Text,Comment
LV.HF.HydroFormaGroup,HydroForma™ GmbH,-
LV.HF.HydroFormaGroupDesc,"Ein bahnbrechender Mega-Konzern, der Landschaften mit modernsten hydrotechnischen Wundern umgestaltet.",-
LV.HF.DamUpgrade,Drucktor-Modul,-
LV.HF.DamUpgradeEff,"Ermöglicht das manuelle vollständige Schließen von Dämmen, um den gesamten Wasserfluss zu stoppen.",-
LV.HF.DamUpgradeLore,"Nahtlose Integration der patentierten FlowLock™-Technologie von HydroForma™, denn Kontrolle ist alles.",-
LV.HF.LeveeUpgrade,Leitungsführungskern,-
LV.HF.LeveeUpgradeEff,"Ermöglicht Deichsystemen, Strom zu übertragen.",-
LV.HF.LeveeUpgradeLore,"„Ein paar Kupferstangen und viel Einfallsreichtum. Jetzt fließt der Strom dorthin, wo der Fluss nicht kann.“ — Wattson Langzahn",-
LV.HF.FloodgateUpgrade,Auto-Regulator-Einheit,-
LV.HF.FloodgateUpgradeEff,Passt die Höhe der Überschwemmungssperre automatisch an die Wetterbedingungen an.,-
LV.HF.FloodgateUpgradeLore,"Sieht automatisch aus, ist aber nur Snips Mudwhistle im Wachdienst mit einem Hebel und einem Diagramm.",-
LV.HF.SluiceUpgrade,Quellensensor,-
LV.HF.SluiceUpgradeEff,Öffnet automatisch die Schleuse basierend auf dem Wasserstand stromaufwärts.,-
LV.HF.SluiceUpgradeLore,"Der Kronjuwel der HydroForma™-Technik - denn echte Kontrolle fragt nicht, sie entscheidet.",-
LV.HF.ImpermeableFloorUpgrade,F&E-Sponsoring™-Paket,-
LV.HF.ImpermeableFloorUpgradeEff,"<YellowHighlight>Hat derzeit keine Wirkung.</YellowHighlight> Frühe Unterstützer schalten dieses Upgrade zu einem reduzierten Forschungskostenpreis frei, bevor es in Zukunft veröffentlicht wird.",-
LV.HF.ImpermeableFloorUpgradeLore,"""Ihre Unterstützung ebnet den Weg – buchstäblich. Endgültige Funktionen können Änderungen unterliegen. Keine Rückerstattungen. Und ja, 'Sponsorship' ist markenrechtlich geschützt."" — HydroForma™ PR-Abteilung",-
LV.HF.DirtExcavatorUpgrade,BurrowBot™-System,-
LV.HF.DirtExcavatorUpgradeEff,"Reduziert die erforderliche Anzahl an Mitarbeitern, um dieses Gebäude zu betreiben, auf nur 1.",-
LV.HF.DirtExcavatorUpgradeLore,„Habe meinen letzten Bagger gefeuert. Die Maschine frisst nie die Äste bei der Arbeit.“ — Claye Broadtail,-
LV.HF.TerrainBlockUpgrade1,Deep Anchor Framework,-
LV.HF.TerrainBlockUpgradeEff,{0:+0} maximale nicht unterstützte Terrain-Blöcke.,-
LV.HF.TerrainBlockUpgrade1Lore,"„Völlig sicher. Streng getestet. Bitte unterschreiben Sie jetzt dieses Formular, bevor Sie kaufen.“ — HydroForma™ Rechtlich",-
LV.HF.TerrainBlockUpgrade2,Substrata Stressverlängerung,-
LV.HF.TerrainBlockUpgrade2Lore,„Nicht im Zusammenhang mit dem Vorfall des letzten Zyklus.“ — HydroForma™ Vertrauens- und Transparenzabteilung,-
LV.HF.BarrierUpgrade,Surface™ Zugangsbeschichtung,-
LV.HF.BarrierUpgradeEff,Ermöglicht den Bau von Wegen unterhalb von Kontaminations- und Bewässerungsbarrieren.,-
LV.HF.BarrierUpgradeLore,'SURFACE-Zugangsbeschichtung? Eher eine unterirdische Sardine. <b>*Bumm*</b>' — Ein leider großer Besucher,-
LV.HF.StreamGaugeUpgrade,DepthSense™ Array,-
LV.HF.StreamGaugeUpgradeEff,Streammessgeräte erkennen jetzt die Wassertiefe bis zum Boden unter ihren eigenen Fliesen und können das Volumen messen.,-
LV.HF.StreamGaugeUpgradeLore,Die DepthSense™ von HydroForma™ sieht unter die Oberfläche - keine Genehmigung erforderlich.,-
LV.HF.Closed,Geschlossen,-
LV.HF.DamSync,Mit benachbarten Dämmen synchronisieren,-
LV.HF.FloodgateSetOnHaz,Höhe bei gefährlichem Wetter festlegen,-
LV.HF.FloodgateSetOnNewCycle,Höhe beim neuen Zyklus festlegen,-
LV.HF.SluiceOpenUpstream,Öffne die obige obere Tiefe:,-
LV.HF.SluiceUpstreamDepth,Oberstromtiefe:,-
LV.HF.SGBottomDepth,Tiefe aus dem Boden: {0:0.00}m ({1:0.00}m von der Basis Z = {2}),-
LV.HF.SGMeasureVolume,Volumen messen:,-
LV.HF.SGMeasureVolumeFullCube,Verwenden Sie die Reservoirmessstrategie.,-
LV.HF.SGMeasureVolumeResult,"Volumen: {0:0.00}m³, gezählt von {1} Würfeln vor {2} Tagen",-
