ID,Text,Comment
Good.EcologicalPlank.PluralDisplayName,製作回收木屑的木板,-
Good.Dust.PluralDisplayName,產生污垢,-
Grease.CriticalDescription,需要潤滑油才能運作,-
Need.Grease.DeathMessage,因缺乏潤滑油而生銹,-
Building.NaturalOverhang1.Description,一個凸出的岩石平台，可以作為其他建築物的橋樑或基礎。,-
Building.NaturalOverhang12.Description,一塊突出的岩石，可以作為其他建築的基礎。能阻止水和漏水。,-
Building.NaturalOverhang1x11.DisplayName,石牆 1x1,-
Building.NaturalOverhang2x11.DisplayName,石頭懸垂 2x1,-
Building.NaturalOverhang3x11.DisplayName,石頭懸崖 3x1,-
Building.NaturalOverhang4x11.DisplayName,石懸崖 4x1,-
