ID,Text,Comment
ToolGroups.Nadca.ThoseMetalOverhangs,新式悬挑,-
ToolGroups.Nadca.ThosePlatforms,新式平台,-
Nadca.Subgroup_SomeMetalPlatforms.DisplayName,新式金属平台,-
Nadca.Subgroup_SomeMetalOverhangs.DisplayName,新式悬挑,-
Nadca.Subgroup_SomePlatforms.DisplayName,新式木质平台,-
Nadca.Overhang8x1.DisplayName,悬挑 8x1,-
Nadca.Overhang9x1.DisplayName,悬挑 9x1,-
Nadca.Overhang10x1.DisplayName,悬挑 10x1,-
Nadca.Overhang11x1.DisplayName,悬挑 11x1,-
Nadca.Overhang12x1.DisplayName,悬挑 12x1,-
Nadca.Overhang13x1.DisplayName,悬挑 13x1,-
Nadca.Overhang10x5.DisplayName,悬挑 10x5,-
Nadca.Overhang.T.5x1.DisplayName,T 型悬挑 5x1,-
Nadca.Overhang.T.10x1.DisplayName,T 型悬挑 10x1,-
Nadca.Overhang3x3+22.DisplayName,超长型悬挑 3x3+22,-
Nadca.Platform3x3x3.DisplayName,三重平台 3x3,-
Nadca.Platform3x3x3.FlavorDescription,任何成长中的旅馆都需要一个坚实的基础。,-
Nadca.Platform4x4x3.DisplayName,三重平台 4x4,-
Nadca.Platform4x4x3.FlavorDescription,变得更大！为蓝图（或只是溅水）提供更多空间。,-
Nadca.Platform5x5x3.DisplayName,三重平台 5x5,-
Nadca.Platform5x5x3.FlavorDescription,真正雄伟！一个适合海狸王的舞台……或者一个非常大的家庭。,-
Nadca.Platform5x5x3.Access.DisplayName,三重平台 5x5 (H),-
Nadca.Platform5x5x3.Access.FlavorDescription,即使是最宏伟的平台也需要一个方便的逃生口，以便快速跳入。,-
Nadca.Platform10x10.DisplayName,超大型平台顶部 10x10,-
Nadca.Platform10x10.Description,单独的平台顶部，四个角需要支撑。,-
Nadca.Platform10x10.FlavorDescription,一个宏伟的舞台，为宏伟的海狸计划。,-
Nadca.RustedPlatform20x20.FlavorDescription,小心锋利！,-
Nadca.RustedPlatform20x20.DisplayName,超大型平台 20x20,-
Nadca.PlatformMetalBlock.DisplayName,平台支柱,-
Nadca.PlatformMetalBlock.Description,单独的平台支柱，可以作为支撑。不能阻断水流。,-
Nadca.PlatformMetalBlock.FlavorDescription,稳固的基础，即使在潮湿的情况下。,-
Nadca.PlatformMetalBase20x20.DisplayName,平台支柱组合,-
Nadca.PlatformMetalBase20x20.Description,四个平台支柱，适用于超大型平台 20x20。,-
Nadca.PlatformMetalBase20x20.FlavorDescription,防止大平台变得潮湿。,-
Nadca.PlatformWoodBlock.DisplayName,防水平台支柱,-
Nadca.PlatformWoodBlock.Description,单独的平台支柱，可以作为支撑。能阻断水流。,-
Nadca.PlatformWoodBlock.FlavorDescription,适当的木材，可以保持水在应有的位置。,-
Nadca.MetalPlatform1x1.DisplayName,金属平台 1x1,-
Nadca.MetalPlatform1x1.Description,金属平台，由一根坚固的中心柱支撑。,-
Nadca.MetalPlatform1x1.FlavorDescription,填补那些海狸有时忘记的小缝隙。,-
Nadca.MetalPlatform3x3.Corner.DisplayName,角落金属平台 3x3,-
Nadca.MetalPlatform3x3.Corner.Description,金属平台，由一根坚固的角柱支撑。,-
Nadca.MetalPlatform3x3.Corner.FlavorDescription,整齐收纳，结实耐用。,-
Nadca.MetalPlatform4x4.Corner.DisplayName,角落金属平台 4x4,-
Nadca.MetalPlatform4x4.Corner.Description,金属平台，由一根坚固的角柱支撑。,-
Nadca.MetalPlatform4x4.Corner.FlavorDescription,对那些雄心勃勃的拐角建筑至关重要。,-
Nadca.MetalPlatform4x4.Access.DisplayName,角落金属平台 4x4 (W),-
Nadca.MetalPlatform4x4.Access.Description,金属平台，由一根坚固的偏心柱支撑。角落带有凹陷。,-
Nadca.MetalPlatform4x4.Access.FlavorDescription,忙碌的小爪子的便捷捷径。,-
Nadca.MetalPlatform5x10.DisplayName,金属平台 10x5,-
Nadca.MetalPlatform5x10.FlavorDescription,足够宽敞，让两只河狸可以策划世界统治，或者只是打个盹。,-
Nadca.MetalPlatform5x10.Description,大型金属平台，由一根坚固的中心柱支撑。,-
Nadca.MetalPlatform15x15.DisplayName,金属平台 15x15,-
Nadca.MetalPlatform15x15.Description,大型金属平台，由一根坚固的中心柱支撑。,-
Nadca.MetalPlatform15x15.FlavorDescription,任何一个严肃的水獺殖民地的基础（或者也许是木石？）。,-
Nadca.MetalPlatform5x5.Lip.DisplayName,金属平台 5x5 (A),-
Nadca.MetalPlatform5x5.Lip.Description,大型金属平台，由一根坚固的中心柱支撑。一边带有凸出。,-
Nadca.MetalPlatform5x5.Lip.FlavorDescription,让攀爬变得稍微容易一些。,-
Nadca.MetalPlatform5x5.Lip2.DisplayName,金属平台 5x5 (B),-
Nadca.MetalPlatform5x5.Lip2.Description,大型金属平台，由一根坚固的中心柱支撑。一边带有凹陷和悬挂。,-
Nadca.MetalPlatform5x5.Lip2.FlavorDescription,小海狸，加油，小海狸，加油！,-
Nadca.MetalPlatform5x5.Lip2b.DisplayName,金属平台 5x5 (B+),-
Nadca.MetalPlatform5x5.Lip2b.Description,大型金属平台，由一根坚固的中心柱支撑。一边带有凹陷和更长的悬挂。,-
Nadca.MetalPlatform5x5.Lip2b.FlavorDescription,当你需要在下面悄悄行动时。,-
Nadca.MetalPlatform5x5.Lip3.DisplayName,金属平台 5x5 (C),-
Nadca.MetalPlatform5x5.Lip3.Description,大型金属平台，由一根坚固的中心柱支撑。一边带有悬挂。,-
Nadca.MetalPlatform5x5.Lip3.FlavorDescription,为明天的水坝，今天就开始建设！,-
Nadca.MetalPlatform5x5.Access.DisplayName,金属平台 5x5 (L),-
Nadca.MetalPlatform5x5.Access.Description,大型金属平台，由一根坚固的中心柱支撑。一边带有凹陷。,-
Nadca.MetalPlatform5x5.Access.FlavorDescription,就在你需要的时候弹出！,-
Nadca.TunnelPlatform.DisplayName,防水平台,-
Nadca.TunnelPlatform.Description,防止水分进入的平台。,-
Nadca.TunnelPlatform.FlavorDescription,保证干燥的爪子，即使在水下也能保持干燥。海狸魔法！,-
Nadca.WBTunnel.DisplayName,隧道防水平台,-
Nadca.WBTunnel.Description,在地形中挖掘隧道，并用防水平台替代原有地形。使用图层工具可查看地形或建筑下方的结构。,-
Nadca.WBTunnel.Description.FlavorDescription,里面没有湿气。别问怎么回事。,-
