ID,Text,Comment
Lapantouflemagic.Pitwarehouse.DisplayName,Яма Склад,-
Lapantouflemagic.Pitwarehouse.Description,"Хранилище с верхним доступом, подходящее для отдалённых уголков.",-
Lapantouflemagic.Pitwarehouse.FlavorDescription,"""Давайте надеяться, что на дне все не сгниет.""",-
Lapantouflemagic.Pitpile.DisplayName,Яма кучи,-
Lapantouflemagic.Pitpile.Description,"Хранение с верхним доступом, которое подходит для удаленных уголков.",-
Lapantouflemagic.Pitpile.FlavorDescription,"""Я мог бы легко скрыть там тело.""  
- Джека Грызуна",-
Lapantouflemagic.SCoveredtank.DisplayName,Маленький закрытый бак,-
Lapantouflemagic.SCoveredtank.Description,"Меньший емкость для хранения, но к которой можно достраивать.",-
Lapantouflemagic.Longwarehouse.DisplayName,Долгий крошечный склад,-
Lapantouflemagic.Longwarehouse.Description,Немного более длинный склад для заполнения труднодоступных углов.,-
Lapantouflemagic.Longwarehouse.FlavorDescription,"""Мне интересно, какие странные формы придумает следующий комитет по хранению.""  
- Бобёр-лесоруб",-
Lapantouflemagic.2x2pile.DisplayName,Средний ворс,-
Lapantouflemagic.2x2pile.FlavorDescription,Правильное чередование ориентации бревен имеет большое значение.,-
Lapantouflemagic.Longpile.DisplayName,Длинная крошечная кучка,-
Lapantouflemagic.Longpile.Description,Удлиненный небольшой ворс для использования в труднодоступных углах.,-
Lapantouflemagic.Longpile.FlavorDescription,"Честно говоря, я ожидал извивающееся хранилище.",-
Lapantouflemagic.PitTank.DisplayName,Ямный танк,-
Lapantouflemagic.PitTank.FlavorDescription,"Не теряйте ведро, люди вели войны за такие вещи.",-
Lapantouflemagic.SCoveredtank.FlavorDescription,"Не лучший способ хранения воды, но, по крайней мере, она будет оставаться чистой.",-
Lapantouflemagic.GigargantuanPile.DisplayName,Гигантская складская куча,-
Lapantouflemagic.GigargantuanWarehouse.DisplayName,Гигантский склад,-
Lapantouflemagic.GigargantuanStorage.Description,"Хранит безумное количество одного типа ресурсов.  
<color=yellow>Требуются лестницы для доступа</color>  
Центральные линии 7x1 не требуют поддержки снизу.  
<color=#FF6EC7>Стеклянные панели сверху щедро предоставлены </color><b>WhitePaws</b><color=#FF6EC7> в рамках кампании по само-продвижению.</color>",-
Lapantouflemagic.GigargantuanStorage.FlavorDescription,"Надеюсь, это не радиоактивное стекло...",-
Lapantouflemagic.GigargantuanStorageWP.Description,Хранит колоссальное количество одного типа ресурса. Центральные линии 7x1 не требуют поддержки снизу.,-
Lapantouflemagic.GigargantuanStorageWP.FlavorDescription,"Ты действительно думал, что кто-то даст тебе всё это стекло бесплатно? Кто бы это сделал?",-
