ID,Text,Comment
minorunara.ToriiGates.PrimitiveToriiGate.DisplayName,Torii primitif,-
minorunara.ToriiGates.PrimitiveToriiGate.Description,Portail torii primitif en rondins assemblés.,-
minorunara.ToriiGates.PrimitiveToriiGate.Flavor,"Il n'est pas bien connu pourquoi le torii a été construit, mais la théorie prévalente est qu'il a été érigé pour offrir de délicieux bûches au roi castor.",-
minorunara.ToriiGates.SimpleToriiGate.DisplayName,Torii simple,-
minorunara.ToriiGates.SimpleToriiGate.Description,Une simple porte torii en planches.,-
minorunara.ToriiGates.SimpleToriiGate.Flavor,"« Hé, c'est un torii vraiment appétissant ! » —Pina",-
minorunara.ToriiGates.DemoToriiGate.DisplayName,Version démo. Porte Torii,-
minorunara.ToriiGates.DemoToriiGate.Description,Ceci est une reproduction de la porte torii qui existait lorsque Timberborn était encore en version démo.,-
minorunara.ToriiGates.DemoToriiGate.Flavor,"""C'est un goût de l'histoire."" —Pina",-
minorunara.ToriiGates.IronToriiGate.DisplayName,Portail Torii en fer,-
minorunara.ToriiGates.IronToriiGate.Description,Torii de Shinmei en fer.,-
minorunara.ToriiGates.IronToriiGate.Flavor,"De nombreux castors rongent le simple torii, nous avons donc réagi en les fabriquant en fer.",-
minorunara.ToriiGates.TreatedToriiGate.DisplayName,Portail Torii traité,-
minorunara.ToriiGates.TreatedToriiGate.Description,Portique Myojin.,-
minorunara.ToriiGates.TreatedToriiGate.Flavor,Torii luxueux en bois de la meilleure qualité recouvert de résine de pin. Un grand nombre de castors veillent pour s'assurer que personne ne le ronge.,-
minorunara.ToriiGates.HugeToriiGateFT.DisplayName,Grande porte torii en bois,-
minorunara.ToriiGates.HugeToriiGateFT.Description,La porte torii du sanctuaire d'Itsukushima est si énorme qu'il semble impossible de la faire couler au fond du barrage.,-
minorunara.ToriiGates.HugeToriiGateFT.Flavor,La fusion de la nature et de la technologie a conduit à la création d'un portail torii avancé qui résiste aux rongeurs comme les castors.,-
minorunara.ToriiGates.HugeToriiGateIT.DisplayName,Grande porte Torii en métal,-
minorunara.ToriiGates.HugeToriiGateIT.Description,La porte torii du sanctuaire Kumano Hongu Taisha est si immense qu'elle peut être vue depuis un autre quartier. Inutile de dire qu'elle n'est pas comestible.,-
minorunara.ToriiGates.HugeToriiGateIT.Flavor,"""Mais je pensais que les torii étaient à l'origine faits pour que les grands castors les mangent ?"" —Pina",-
minorunara.ToriiGates.ToriiCategory.DisplayName,Portes Torii,-
minorunara.ToriiGates.ToriiCategory.Description,Gloire aux Castors Shinto !,-
minorunara.ToriiGates.OrdinaryToriiGateNeed.DisplaynameLocKey,Torii ordinaire,-
minorunara.ToriiGates.GorgeousToriiGateNeed.DisplaynameLocKey,Superbe porte Torii,-
minorunara.ToriiGates.GreatToriiGateNeed.DisplaynameLocKey,Grand Torii,-
minorunara.Lantern.ForwardFacingBench.DisplayName,Banquette orientée vers l'avant,-
minorunara.Lantern.ForwardFacingBench.Description,Un banc avec un chemin menant à l'arrière.,-
minorunara.Lantern.ForwardFacingBench.Flavor,"""comment sont-ils entrés ?""",-
minorunara.Lantern.LanternCategory.DisplayName,lanternes,-
minorunara.Lantern.LanternCategory.Description,Brille dans le noir.,-
minorunara.Lantern.IndoorLantern.DisplayName,Lanterne d'intérieur,-
minorunara.Lantern.IndoorLantern.Description,"Bien qu'elle soit appelée lanterne d'intérieur, elle peut être installée à l'extérieur.",-
minorunara.Lantern.IndoorLantern.Flavor,"Les ancêtres des castors étaient nocturnes pour éviter les prédateurs, mais maintenant, en tant que couronnement de toute la création, nous aimons profiter de la lumière du jour.",-
minorunara.Lantern.StreetLantern.DisplayName,Lampadaire,-
minorunara.Lantern.StreetLantern.Description,Ces lanternes sont souvent installées devant des postes de garde et dans les rues. Elles seront également utilisées pour la signalisation des magasins.,-
minorunara.Lantern.StreetLantern.Flavor,L'idée de faire briller les enseignes des magasins a rendu la ville animée.,-
minorunara.Lantern.GardenLantern.DisplayName,Lanterne de jardin,-
minorunara.Lantern.GardenLantern.Description,Ces lanternes sont souvent installées dans des sanctuaires et des jardins.,-
minorunara.Lantern.GardenLantern.Flavor,"Qu'est-ce que le Zen ? Puis-je le manger ?"""" -Pina",-
minorunara.Lantern.PaperLantern.DisplayName,Lanterne en papier,-
minorunara.Lantern.PaperLantern.Description,Ces lanternes sont utilisées pendant les festivals et devant les bars pour créer une atmosphère différente de celle de la vie quotidienne.,-
minorunara.Lantern.PaperLantern.Flavor,"Rester éveillé tard sera probablement excitant pour vous, mais avec modération, car vous devez travailler demain.",-
minorunara.Lantern.ModernLantern1.DisplayName,Lanterne Moderne (Triangle),-
minorunara.Lantern.ModernLantern1.Description,Une lanterne de type lampadaire avec un toit triangulaire.,-
minorunara.Lantern.ModernLantern1.Flavor,Les castors qui ont conquis l'obscurité de la nuit n'ont plus rien à craindre. Sauf la sécheresse.,-
minorunara.Lantern.ModernLantern2.DisplayName,Lanterne Moderne (Carrée),-
minorunara.Lantern.ModernLantern2.Description,Une lanterne de type réverbère en forme carrée.,-
minorunara.Lantern.ModernLantern2.Flavor,"Le présent deviendra finalement le passé. Mais même dans le futur, les barrages resteront importants.",-
minorunara.ToriiGatesLantern.SettingsHeader,Paramètres du mod Portes Torii et Lanternes,-
minorunara.ToriiGatesLantern.SettingsDiscription,Activez les lanternes et les shide pour les laisser danser dans le vent.,-
minorunara.ToriiGatesLantern.SettingsTooltip,Vous pouvez désactiver cela si vous le trouvez ennuyeux.,-
