ID,Text,Comment
LV.QS.AutoContinueShift,Авто загрузка при удерживании Shift,-
LV.QS.AutoContinueShiftDesc,"Автоматически загружать последнее сохранённое состояние игры (как при нажатии кнопки Продолжить), удерживая Shift во время начала игры.",-
LV.QS.AutoContinueShiftToCancel,"Удерживайте Shift, чтобы отменить вместо этого.",-
LV.QS.AutoContinueShiftToCancelDesc,"Всегда загружайте последнюю сохраненную игру, если вы не удерживаете Shift во время начала игры.",-
LV.QS.AutoLoadMap,Автоматически загружать редактор карт вместо этого.,-
LV.QS.AutoLoadMapDesc,"Автоматически загружать редактор карт при запуске игры, как кнопку ""Продолжить"", но для редактора карт.",-
LV.QS.PromptContinue,"Нажмите Shift, чтобы продолжить автоматически.",-
LV.QS.PromptLoadMap,Нажмите Shift для автоматической загрузки Редактора карт,-
LV.QS.PromptCancelContinue,"Нажмите Shift, чтобы отменить автоматическое продолжение.",-
LV.QS.PromptCancelLoadMap,"Нажмите Shift, чтобы отменить автоматическую загрузку редактора карт",-
