ID,Text,Comment
Lapantouflemagic.Pitwarehouse.DisplayName,ピット倉庫,-
Lapantouflemagic.Pitwarehouse.Description,遠隔の隅にフィットするトップアクセスのストレージサイト。,-
Lapantouflemagic.Pitwarehouse.FlavorDescription,「底のものが腐らないことを願いましょう」,-
Lapantouflemagic.Pitpile.DisplayName,ピットパイル,-
Lapantouflemagic.Pitpile.Description,遠隔地の隅にフィットするトップアクセスのストレージサイト。,-
Lapantouflemagic.Pitpile.FlavorDescription,"「そこで遺体を簡単に隠すことができる」  
- ジャック・ザ・ノーワー",-
Lapantouflemagic.SCoveredtank.DisplayName,小型カバー付きタンク,-
Lapantouflemagic.SCoveredtank.Description,より小さな貯蔵タンクですが、上に建設することができます。,-
Lapantouflemagic.Longwarehouse.DisplayName,長い小さな倉庫,-
Lapantouflemagic.Longwarehouse.Description,手の届きにくい隅を埋めるための少し長めの倉庫。,-
Lapantouflemagic.Longwarehouse.FlavorDescription,"「次にストレージ委員会がどんな奇妙な形を考え出すのか気になる。」  
- ある材木伐採ビーバー",-
Lapantouflemagic.2x2pile.DisplayName,ミディアムパイル,-
Lapantouflemagic.2x2pile.FlavorDescription,適切にログの向きを交互にすることは重要です。,-
Lapantouflemagic.Longpile.DisplayName,長い小さな山,-
Lapantouflemagic.Longpile.Description,届きにくい隅を使うための細長い小さな山。,-
Lapantouflemagic.Longpile.FlavorDescription,正直なところ、私はぐにゃぐにゃした収納を期待していました。,-
Lapantouflemagic.PitTank.DisplayName,ピットタンク,-
Lapantouflemagic.PitTank.FlavorDescription,バケツを失わないで、ヒューマンはそのようなことで戦争をしてきた。,-
Lapantouflemagic.SCoveredtank.FlavorDescription,水を貯める最良の方法ではありませんが、少なくとも清潔さは保たれます。,-
Lapantouflemagic.GigargantuanPile.DisplayName,ギガガントゥアンストレージパイル,-
Lapantouflemagic.GigargantuanWarehouse.DisplayName,ギガンガンツワーハウス,-
Lapantouflemagic.GigargantuanStorage.Description,"一種類のリソースを途方もない量保存します。  
<color=yellow>アクセスにははしごが必要です</color>  
中央の7x1ラインは、下に支持がなくても構いません。  
<color=#FF6EC7>上のガラスパネルは、<b>ホワイトパウズ</b><color=#FF6EC7>によって自己宣伝キャンペーンの一環として優雅に提供されています。</color>",-
Lapantouflemagic.GigargantuanStorage.FlavorDescription,それが放射性ガラスでないことを願っています...,-
Lapantouflemagic.GigargantuanStorageWP.Description,一種類の資源を途方もない量収納します。中央の7x1ラインは、下に支えを必要としません。,-
Lapantouflemagic.GigargantuanStorageWP.FlavorDescription,誰がそんなに多くのガラスをタダでくれると思ったの？そんなことをする人がいるわけないじゃないか。,-
