ID,Text,Comment
Nadca.Subgroup_SomeMetalPlatforms.DisplayName,金屬平台,-
Nadca.Subgroup_SomeMetalOverhangs.DisplayName,金屬懸臂,-
Nadca.Subgroup_SomePlatforms.DisplayName,額外平台,-
Nadca.Overhang8x1.DisplayName,Nawis 8x1,-
Nadca.Overhang9x1.DisplayName,Nawis 9x1,-
Nadca.Overhang10x1.DisplayName,Nawis 10x1,-
Nadca.Overhang11x1.DisplayName,Nawis 11x1,-
Nadca.Overhang12x1.DisplayName,Nawis 12x1,-
Nadca.Overhang13x1.DisplayName,Nawis 13x1,-
Nadca.Overhang10x5.DisplayName,Nawis 10x5,-
Nadca.Overhang.T.5x1.DisplayName,Nawis 5x1 形狀像 T 的懸臂,-
Nadca.Overhang.T.10x1.DisplayName,T形的10x1通道,-
Nadca.Overhang3x3+22.DisplayName,平台 3x3 具有伸出 22x1,-
Nadca.Platform3x3x3.DisplayName,大型平台 3x3x3,-
Nadca.Platform4x4x3.DisplayName,更大的4x4x3平台,-
Nadca.Platform5x5x3.DisplayName,Mega 平台 5x5x3,-
Nadca.Platform5x5x3.Access.DisplayName,巨型平台 5x5x3 具有中央凹槽,-
Nadca.Platform10x10.Description,高平台。只需要在四個角落有堅固的支撐物。,-
Nadca.Platform10x10.DisplayName,Giga 平台 10x10,-
Nadca.RustedPlatform20x20.FlavorDescription,不要割傷自己！,-
Nadca.RustedPlatform20x20.DisplayName,生鏽的平台 20x20,-
Nadca.RustedPlatform20x20.Description,平台20至20由廢料製成,-
Nadca.PlatformMetalBlock.Description,堅固的底座塊。能夠透水。,-
Nadca.PlatformMetalBlock.DisplayName,生鏽的平臺區塊,-
Nadca.PlatformMetalBase20x20.Description,一套4個支撐架（1x1x1），排列方式為支撐20x20的平台。,-
Nadca.PlatformMetalBase20x20.DisplayName,20x20 杯墊,-
Nadca.PlatformWoodBlock.Description,其實這是一條堤岸，但是不同的。,-
Nadca.PlatformWoodBlock.DisplayName,木製平台的區塊,-
Nadca.MetalPlatform1x1.Description,在平台上填寫風格的凹槽,-
Nadca.MetalPlatform1x1.DisplayName,金屬平台 1x1,-
Nadca.MetalPlatform3x3.Corner.Description,最佳平台是在角落裡的那些。,-
Nadca.MetalPlatform3x3.Corner.DisplayName,角落金属平台 3x3,-
Nadca.MetalPlatform4x4.Corner.Description,因為沒有任何一個角落平台是單獨存在的。,-
Nadca.MetalPlatform4x4.Corner.DisplayName,角落金屬平台 4x4,-
Nadca.MetalPlatform5x10.Description,一個平台取代兩個5x5,-
Nadca.MetalPlatform5x10.DisplayName,大遮篷 10x5,-
Nadca.MetalPlatform15x15.Description,堅固的基礎，滿足你所有的需求。不要限制自己！,-
Nadca.MetalPlatform15x15.DisplayName,大平台 15x15,-
Nadca.MetalPlatform5x5.Lip.Description,平台擴展從未如此容易！,-
Nadca.MetalPlatform5x5.Lip.DisplayName,金屬平台 5x5 檯面 A,-
Nadca.MetalPlatform5x5.Lip2.Description,很棒，可以順利達到更高的水平。,-
Nadca.MetalPlatform5x5.Lip2.DisplayName,金屬平台 5x5 突沿 B,-
Nadca.MetalPlatform5x5.Lip2b.Description,在你的平台下創建路徑,-
Nadca.MetalPlatform5x5.Lip2b.DisplayName,金屬平台 5x5 ledge B 長型,-
Nadca.MetalPlatform5x5.Lip3.Description,今天就開始建設未來的平台吧！,-
Nadca.MetalPlatform5x5.Lip3.DisplayName,金屬平台 5x5 邊緣 C,-
Nadca.MetalPlatform5x5.Access.Description,金屬平台5x5，帶有一個可進入的開口，讓建造更加無縫接合,-
Nadca.MetalPlatform5x5.Access.DisplayName,5x5 金屬平台，側面有凹槽,-
Nadca.TunnelPlatform.DisplayName,防水的隧道平台,-
Nadca.TunnelPlatform.Description,防漏的平台，靠著魔法 :),-
