ID,Text,Comment
DAM.EnableAll,启用全部,-
DAM.EnableAllDesc,检查以在退出时启用所有模组。需要重启，并且这会自动取消选中。,-
DAM.DisableAll,禁用所有,-
DAM.DisableAllDesc,退出时检查以禁用所有模组。需要重启，该选项会自动取消勾选。,-
DAM.KeepEnabled,保持启用,-
DAM.KeepEnabledDesc,如果选中“禁用所有”，请保持启用的 mod ID 的半角分号 ';' 分隔列表。,-
DAM.LoadProfile,加载个人资料,-
DAM.LoadProfileDesc,启用来自'mods.txt'文件的mod，文件应该在mod的文件夹中。,-
DAM.SaveProfile,保存个人资料,-
DAM.SaveProfileDesc,将启用的模组保存到“mods.txt”文件中。该文件将位于模组的文件夹中。,-
DAM.ViewProfileFolder,查看个人资料文件夹,-
DAM.ViewProfileFolderDesc,打开包含 'mods.txt' 文件的文件夹。,-
DAM.RestartGame,好的 & 重启游戏,-
