ID,Text,Comment
Nadca.Subgroup_SomeMetalPlatforms.DisplayName,金属製のプラットフォーム,-
Nadca.Subgroup_SomeMetalOverhangs.DisplayName,金属製のひさし,-
Nadca.Subgroup_SomePlatforms.DisplayName,追加プラットフォーム,-
Nadca.Overhang8x1.DisplayName,ナウィス 8x1,-
Nadca.Overhang9x1.DisplayName,ナウィス 9x1,-
Nadca.Overhang10x1.DisplayName,ナウィス 10x1,-
Nadca.Overhang11x1.DisplayName,ナウィス 11x1,-
Nadca.Overhang12x1.DisplayName,ナウィス 12x1,-
Nadca.Overhang13x1.DisplayName,ナウィス 13x1,-
Nadca.Overhang10x5.DisplayName,ナウィス 10x5,-
Nadca.Overhang.T.5x1.DisplayName,T字型のナウイス 5x1,-
Nadca.Overhang.T.10x1.DisplayName,T字型のナビス10x1,-
Nadca.Overhang3x3+22.DisplayName,プラットフォーム3x3で22x1を突き出しています。,-
Nadca.Platform3x3x3.DisplayName,大きなプラットフォーム3x3x3,-
Nadca.Platform4x4x3.DisplayName,より大きなプラットフォーム4x4x3,-
Nadca.Platform5x5x3.DisplayName,メガプラットフォーム 5x5x3,-
Nadca.Platform5x5x3.Access.DisplayName,メガプラットフォーム 5x5x3 中央くぼみ付き,-
Nadca.Platform10x10.Description,高いプラットフォーム。4つのコーナーにのみ堅固な構造物が必要です。,-
Nadca.Platform10x10.DisplayName,ギガプラットフォーム 10x10,-
Nadca.RustedPlatform20x20.FlavorDescription,切らないで！,-
Nadca.RustedPlatform20x20.DisplayName,錆びたプラットフォーム 20x20,-
Nadca.RustedPlatform20x20.Description,20の20プラットフォームはスクラップから作られています。,-
Nadca.PlatformMetalBlock.Description,頑丈な基礎ブロック。水を通します。,-
Nadca.PlatformMetalBlock.DisplayName,錆びたプラットフォームのブロック,-
Nadca.PlatformMetalBase20x20.Description,20x20のプラットフォームを支えるために配置された4つの基盤セット（1x1x1）,-
Nadca.PlatformMetalBase20x20.DisplayName,20x20のコースター,-
Nadca.PlatformWoodBlock.Description,実際にはそれは堤防のようなものですが、別の言い方をすれば。,-
Nadca.PlatformWoodBlock.DisplayName,木製プラットフォームのブロック,-
Nadca.MetalPlatform1x1.Description,プラットフォームのスタイルでくぼみを埋めてください,-
Nadca.MetalPlatform1x1.DisplayName,金属プラットフォーム 1x1,-
Nadca.MetalPlatform3x3.Corner.Description,最高のプラットフォームは隅にあります。,-
Nadca.MetalPlatform3x3.Corner.DisplayName,角型の金属プラットフォーム 3x3,-
Nadca.MetalPlatform4x4.Corner.Description,ボは、どの隅のプラットフォームも単独では存在しない。,-
Nadca.MetalPlatform4x4.Corner.DisplayName,コーナー型金属プラットフォーム 4x4,-
Nadca.MetalPlatform5x10.Description,1つのプラットフォームで2つの5x5を代替します。,-
Nadca.MetalPlatform5x10.DisplayName,大きなひさし 10x5,-
Nadca.MetalPlatform15x15.Description,すべての必要なもののためのしっかりとした基盤。自分を制限しないで！,-
Nadca.MetalPlatform15x15.DisplayName,15x15の大きなプラットフォーム,-
Nadca.MetalPlatform5x5.Lip.Description,プラットフォームの拡張はこれまでになく簡単です！,-
Nadca.MetalPlatform5x5.Lip.DisplayName,メタルプラットフォーム 5x5 レッジ A,-
Nadca.MetalPlatform5x5.Lip2.Description,問題なく上のレベルに進むために素晴らしいです。,-
Nadca.MetalPlatform5x5.Lip2.DisplayName,メタルプラットフォーム 5x5 レッジ B,-
Nadca.MetalPlatform5x5.Lip2b.Description,自分のプラットフォームの下にパスを作成してください。,-
Nadca.MetalPlatform5x5.Lip2b.DisplayName,メタルプラットフォーム 5x5 レッジ B ロング,-
Nadca.MetalPlatform5x5.Lip3.Description,今日から未来のプラットフォームを構築しましょう！,-
Nadca.MetalPlatform5x5.Lip3.DisplayName,メタルプラットフォーム 5x5 ledge C,-
Nadca.MetalPlatform5x5.Access.Description,金属プラットフォーム5x5、さらにスムーズな構築のためのアクセスオープニング付き,-
Nadca.MetalPlatform5x5.Access.DisplayName,側面にくぼみのある5x5の金属プラットフォーム,-
Nadca.TunnelPlatform.DisplayName,水に対して保護されたトンネルプラットフォーム,-
Nadca.TunnelPlatform.Description,漏れに強いプラットフォーム、魔法のおかげで :),-
