ID,Text,Comment
argargablar.TimberLapse.ModName,木材延時攝影,-
argargablar.TimberLapse.Settings.Menu,木材延時設定,-
argargablar.TimberLapse.OutputDir,輸出目錄,-
argargablar.TimberLapse.OutputFormat,輸出格式,-
argargablar.TimberLapse.Resolution,輸出解析度,-
argargablar.TimberLapse.UseCustomResolution,使用自訂解析度,-
argargablar.TimberLapse.CustomResWidth,自訂寬度,-
argargablar.TimberLapse.CustomResHeight,自訂高度,-
argargablar.TimberLapse.Verbose,詳細日誌記錄,-
argargablar.TimberLapse.Frequency,延時攝影頻率,-
argargablar.TimberLapse.Frequency.1h,1小時,-
argargablar.TimberLapse.Frequency.2h,2小時,-
argargablar.TimberLapse.Frequency.4h,4小時,-
argargablar.TimberLapse.Frequency.6h,6 小時,-
argargablar.TimberLapse.Frequency.8h,8小時,-
argargablar.TimberLapse.Frequency.hd,12 小時,-
argargablar.TimberLapse.Frequency.1d,1 天,-
argargablar.TimberLapse.Frequency.2d,2 天,-
argargablar.TimberLapse.Frequency.es,每個季節,-
argargablar.TimberLapse.Frequency.ec,每個循環,-
argargablar.TimberLapse.DefaultCamera,我的相機,-
argargablar.TimberLapse.Enable,啟用 TimberLapse,-
argargablar.TimberLapse.SetCameras,設置相機,-
argargablar.TimberLapse.ManualScreenshot,螢幕截圖,-
argargablar.TimberLapse.ManualScreenshotTip,使用所選相機手動截圖,-
argargablar.TimberLapse.OpenSettings,設置,-
argargablar.TimberLapse.QuickNotif.Success,截圖已捕獲,-
argargablar.TimberLapse.QuickNotif.Failure,截圖失敗,-
argargablar.TimberLapse.ModSettingBox,更多設定,-
argargablar.TimberLapse.CameraConfig.Header,木材延時攝影機,-
argargablar.TimberLapse.CameraConfig.Rename,重命名,-
argargablar.TimberLapse.CameraConfig.RenameTip,重新命名所選擇的相機。,-
argargablar.TimberLapse.CameraConfig.SetView,設置相機,-
argargablar.TimberLapse.CameraConfig.SetViewTip,將所選的攝影機設置為玩家的視角。,-
argargablar.TimberLapse.CameraConfig.CheckView,查看相機,-
argargablar.TimberLapse.CameraConfig.CheckViewTip,將遊戲相機移動到選定相機的儲存視角。,-
argargablar.TimberLapse.CameraConfig.AddCameraTip,添加新相機,-
argargablar.TimberLapse.CameraConfig.RemoveCameraTip,刪除已刪除的相機,-
argargablar.TimberLapse.CameraFoV,視野範圍,-
argargablar.TimberLapse.CameraFreeMode,自由相機模式：開啟 || 霧：關閉,-
argargablar.TimberLapse.KeyBinding.AllManual,螢幕截圖（所有相機）,-
