ID,Text,Comment
LV.MacM.KeyBindingCopy,Makro-Management: Einen weiteren aufbauen,-
LV.MacM.KeyBindingSelectAll,Makro-Management: Alle auswählen,-
LV.MacM.KeyBindingSelectDistr,Makroverwaltung: Auswahl im Bezirk,-
LV.MacM.BuildAnother,Baue ein weiteres {0},-
LV.MacM.Select,Wähle {0}:,-
LV.MacM.SelectDistrict,Im Bezirk '{0}',-
LV.MacM.NoDistrict,Kein Bezirk,-
LV.MacM.SelectAll,Überall,-
LV.MacM.SelectPaused,Pausiert,-
LV.MacM.SelectRunning,Laufen,-
LV.MacM.StockpileWarning,"Warnung: Sie sind dabei, Artikel für <b>ALLE</b> ({0}) ausgewählten Lagergebäude zu ändern. Sind Sie sicher?",-
LV.MacM.ManufactoryWarning,"Warnung: Sie stehen kurz davor, die Rezepte für <b>ALLE</b> ({0}) ausgewählten Gebäude zu ändern. Sind Sie sicher?",-
