ID,Text,Comment
ToolGroups.Nadca.ThoseMetalOverhangs,那些懸垂部分,-
ToolGroups.Nadca.ThosePlatforms,那些平台,-
Nadca.Subgroup_SomeMetalPlatforms.DisplayName,一些金屬平台,-
Nadca.Subgroup_SomeMetalOverhangs.DisplayName,一些金屬懸挑,-
Nadca.Subgroup_SomePlatforms.DisplayName,一些平台,-
Nadca.Overhang8x1.DisplayName,懸垂 8x1,-
Nadca.Overhang9x1.DisplayName,懸掛 9x1,-
Nadca.Overhang10x1.DisplayName,懸垂 10x1,-
Nadca.Overhang11x1.DisplayName,突出部 11x1,-
Nadca.Overhang12x1.DisplayName,懸挑 12x1,-
Nadca.Overhang13x1.DisplayName,突出 13x1,-
Nadca.Overhang10x5.DisplayName,懸垂 10x5,-
Nadca.Overhang.T.5x1.DisplayName,T 伸出 5x1,-
Nadca.Overhang.T.10x1.DisplayName,T 伸出 10x1,-
Nadca.Overhang3x3+22.DisplayName,大長 3x3+22,-
Nadca.Platform3x3x3.DisplayName,大型平台 3x3x3,-
Nadca.Platform4x4x3.DisplayName,較大平台 4x4x3,-
Nadca.Platform5x5x3.DisplayName,超級平台 5x5x3,-
Nadca.Platform5x5x3.Access.DisplayName,猛獸平台 5x5x3 帶檢查孔,-
Nadca.Platform10x10.Description,一個需要四個角落基礎來支撐的單一高平台,-
Nadca.Platform10x10.DisplayName,Giga 平台 10x10,-
Nadca.RustedPlatform20x20.FlavorDescription,不要受傷！,-
Nadca.RustedPlatform20x20.DisplayName,生鏽的平台 20x20,-
Nadca.PlatformMetalBlock.Description,可透水的基座磚,-
Nadca.PlatformMetalBlock.DisplayName,生鏽的平台區塊,-
Nadca.PlatformMetalBase20x20.Description,透水基座以適用於生鏽的平台 20x20,-
Nadca.PlatformMetalBase20x20.DisplayName,20x20 生鏽底座,-
Nadca.PlatformWoodBlock.Description,水壩塊，用於某些千兆平台。可以用作堤防。,-
Nadca.PlatformWoodBlock.DisplayName,木製平台塊,-
Nadca.MetalPlatform1x1.Description,理想用於填補擋板平台的縫隙,-
Nadca.MetalPlatform1x1.DisplayName,金屬平台 1x1,-
Nadca.MetalPlatform3x3.Corner.Description,最好的平台位於角落。,-
Nadca.MetalPlatform3x3.Corner.DisplayName,角落金屬平台 3x3,-
Nadca.MetalPlatform4x4.Corner.Description,角落平台不是獨立存在的,-
Nadca.MetalPlatform4x4.Corner.DisplayName,角落金屬平台 4x4,-
Nadca.MetalPlatform4x4.Access.Description,去角金屬平台以便於進入,-
Nadca.MetalPlatform4x4.Access.DisplayName,金屬平台4x4帶艙口,-
Nadca.MetalPlatform5x10.Description,一個適合兩者需求的平台,-
Nadca.MetalPlatform5x10.DisplayName,大懸挑 10x5,-
Nadca.MetalPlatform15x15.Description,堅實的基礎,-
Nadca.MetalPlatform15x15.DisplayName,最大金屬平台 15x15,-
Nadca.MetalPlatform5x5.Lip.Description,擴展您的平台從未如此簡單！,-
Nadca.MetalPlatform5x5.Lip.DisplayName,金屬平台 5x5 邊緣 A,-
Nadca.MetalPlatform5x5.Lip2.Description,完美達成無縫接入您的上層級別,-
Nadca.MetalPlatform5x5.Lip2.DisplayName,金屬平台 5x5 邊緣 B,-
Nadca.MetalPlatform5x5.Lip2b.Description,在您的平台下建立一個網絡,-
Nadca.MetalPlatform5x5.Lip2b.DisplayName,金屬平台 5x5 懸臂 B 長,-
Nadca.MetalPlatform5x5.Lip3.Description,立即為您的平台未來做好準備！,-
Nadca.MetalPlatform5x5.Lip3.DisplayName,金屬平台 5x5 縫隙 C,-
Nadca.MetalPlatform5x5.Access.Description,金屬平台5x5，帶有接入開口，可實現更無縫的建設。,-
Nadca.MetalPlatform5x5.Access.DisplayName,金屬平台5x5帶艙口,-
Nadca.TunnelPlatform.DisplayName,水障礙隧道平台,-
Nadca.TunnelPlatform.Description,防止水進入的平台。用魔法。,-
Nadca.WBTunnel.DisplayName,水障礙隧道,-
Nadca.WBTunnel.Description,一條魔法隧道，突破已知物理的限制，從四面八方排斥水分。,-
