ID,Text,Comment
Knatte.DE_RMCorner.DisplayName,装飾金属コーナー,-
Knatte.DE_RMCorner.Description,リブ付き金属ダムをコーナーに置きましょう。,-
Knatte.DE_RMCorner.FlavorDescription,水をブロックしない,-
//,Error,-
Knatte.DE_RMSQCorner.DisplayName,装飾用金属角型コーナー,-
Knatte.DE_RMSQCorner.Description,リブメタルダムを角に設置しましょう。,-
Knatte.DE_RMSQCorner.FlavorDescription,水をブロックしません,-
Knatte.DE_RMDiagonal.DisplayName,装飾金属斜め,-
Knatte.DE_RMDiagonal.Description,リブ金属ダムを横に移動させてください。,-
Knatte.DE_RMDiagonal.FlavorDescription,水をブロックしません,-
Knatte.DE_RMDiagonalW.DisplayName,リーブ・ダイアゴナル,-
Knatte.DE_RMDiagonalW.Description,リブ付き金属ダムを横に移動させましょう。,-
Knatte.DE_RMDiagonalW.FlavorDescription,水は通りません,-
Knatte.DE_RMInvCorner.DisplayName,装飾金属内部コーナー,-
Knatte.DE_RMInvCorner.Description,リブ付きメタルダムをコーナーにしましょう。,-
Knatte.DE_RMInvCorner.FlavorDescription,水をブロックしません,-
Knatte.DE_RMInvCornerW.DisplayName,リーヴ内部隅,-
Knatte.DE_RMInvCornerW.Description,リブ付き金属ダムをコーナーに設置しましょう。,-
Knatte.DE_RMInvCornerW.FlavorDescription,水は通らない,-
Knatte.DE_RMSlope.DisplayName,装飾金属スロープ,-
Knatte.DE_RMSlope.Description,リブ付き金属ダムを傾斜させる。,-
Knatte.DE_RMSlope.FlavorDescription,水をブロックしない,-
Knatte.DE_RMCornerSlope.DisplayName,装飾金属傾斜コーナー,-
Knatte.DE_RMCornerSlope.Description,リブ付き金属ダムをコーナーに設置してください。,-
Knatte.DE_RMCornerSlope.FlavorDescription,水をブロックしない,-
Knatte.DE_RMSquare.DisplayName,装飾用メタルキューブ,-
Knatte.DE_RMSquare.Description,リブ付き金属の四角をダムにする,-
Knatte.DE_RMSquare.FlavorDescription,水を遮らない,-
Knatte.DE_RMSquare2W.DisplayName,金属レベル 2x2,-
Knatte.DE_RMSquare3W.DisplayName,メタルレビー 3x3,-
Knatte.DE_RMSquareW.Description,リブ付き金属で大きくしてください。,-
Knatte.DE_RMSquareW.FlavorDescription,水は通らない,-
Knatte.DE_RMSquareW1x1.DisplayName,メタル防潮堤 1x1,-
Knatte.DE_RMSquareW1x2.DisplayName,メタルレリーフ 1x2,-
Knatte.DE_RMSquareW1x3.DisplayName,メタルレベル 1x3,-
Knatte.DE_RMSquareW2x1.DisplayName,メタルレヴィー 2x1,-
Knatte.DE_RMSquareW2x3.DisplayName,メタルレヴィ 2x3,-
Knatte.DE_RMSquareW3x1.DisplayName,メタルレビー 3x1,-
Knatte.DE_RMSquareW3x2.DisplayName,メタルレヴィ 3x2,-
Knatte.DE_RMCorner2X.DisplayName,"装飾金属コーナー  
ダブルハイト",-
Knatte.DE_RMCorner2X.Description,リブ付き金属ダムをコーナーにしましょう。,-
Knatte.DE_RMCorner2X.FlavorDescription,水をブロックしない,-
Knatte.DE_RMSQCorner2X.DisplayName,装飾金属四隅 ダブルハイト,-
Knatte.DE_RMSQCorner2X.Description,リブ付き金属ダムをコーナーに配置しよう。,-
Knatte.DE_RMSQCorner2X.FlavorDescription,水をブロックしません,-
Knatte.DE_RMDiagonal2X.DisplayName,"装飾金属対角線 
ダブルハイト",-
Knatte.DE_RMDiagonal2X.Description,リブ付き金属ダムを横に移動させてください。,-
Knatte.DE_RMDiagonal2X.FlavorDescription,水をブロックしません,-
Knatte.DE_RMInvCornerS2X.DisplayName,装飾金属内部コーナーサイドプラットフォームダブルハイト,-
Knatte.DE_RMInvCornerS2X.Description,リブ付き金属ダムを横に移動させ、プラットフォームを設置してください。,-
Knatte.DE_RMInvCornerS2X.FlavorDescription,水をブロックしない,-
Knatte.DE_RMInvCorner2X.DisplayName,装飾用金属内隅 ダブルハイト,-
Knatte.DE_RMInvCorner2X.Description,リブ付き金属ダムをコーナーに置いてください。,-
Knatte.DE_RMInvCorner2X.FlavorDescription,水をブロックしない,-
Knatte.DE_RMInvCornerW2X.DisplayName,メタルレヴィ内部コーナー ダブルハイト,-
Knatte.DE_RMInvCornerW2X.Description,リブ付き金属製ダムをコーナーにしましょう。,-
Knatte.DE_RMInvCornerW2X.FlavorDescription,水は通りません,-
Knatte.DE_RMSlope2X.DisplayName,"装飾金属スロープ  
ダブルハイト",-
Knatte.DE_RMSlope2X.Description,リブ付き金属ダムを傾斜させてください。,-
Knatte.DE_RMSlope2X.FlavorDescription,水をブロックしません,-
Knatte.DE_RMCornerSlope2X.DisplayName,装飾金属スロープコーナー ダブルハイト,-
Knatte.DE_RMCornerSlope2X.Description,リブ付き金属ダムをコーナーにしましょう。,-
