ID,Text,Comment
minorunara.ToriiGates.PrimitiveToriiGate.DisplayName,Pierwotna brama Torii,-
minorunara.ToriiGates.PrimitiveToriiGate.Description,Praprzybyte brama torii złożona z połączonych bali.,-
minorunara.ToriiGates.PrimitiveToriiGate.Flavor,"Nie jest dobrze znane, dlaczego zbudowano bramę torii, ale powszechnie panująca teoria głosi, że miała na celu ofiarowanie smacznych kłód królowi bobrów.",-
minorunara.ToriiGates.SimpleToriiGate.DisplayName,Prosty brama Torii,-
minorunara.ToriiGates.SimpleToriiGate.Description,Prosty gate torii wykonany z desek.,-
minorunara.ToriiGates.SimpleToriiGate.Flavor,"„Hej, to wygląda na naprawdę smaczną bramę torii!” —Pina",-
minorunara.ToriiGates.DemoToriiGate.DisplayName,Demo wersja. Brama Torii,-
minorunara.ToriiGates.DemoToriiGate.Description,"To jest reprodukcja bramy torii, która istniała, gdy Timberborn był jeszcze w wersji demonstracyjnej.",-
minorunara.ToriiGates.DemoToriiGate.Flavor,"""To smak historii."" —Pina",-
minorunara.ToriiGates.IronToriiGate.DisplayName,Żelazna brama Torii,-
minorunara.ToriiGates.IronToriiGate.Description,Bramka torii Shinmei zrobiona z żelaza.,-
minorunara.ToriiGates.IronToriiGate.Flavor,"Wiele bobrów gryzie prostą bramę torii, więc przeciwdziałaliśmy temu, tworząc je z żelaza.",-
minorunara.ToriiGates.TreatedToriiGate.DisplayName,Leczony Brama Torii,-
minorunara.ToriiGates.TreatedToriiGate.Description,Bramka torii Myojin.,-
minorunara.ToriiGates.TreatedToriiGate.Flavor,"Luksusowe torii wykonane z najlepszego drewna pokrytego żywicą sosnową. Duża liczba bobrów pilnuje, aby nikt nie ogryzał go.",-
minorunara.ToriiGates.HugeToriiGateFT.DisplayName,Wielka drewniana brama Torii,-
minorunara.ToriiGates.HugeToriiGateFT.Description,"Bramka torii w sanktuarium Itsukushima jest tak ogromna, że wydaje się niemożliwe, aby zatopić ją na dnie tamy.",-
minorunara.ToriiGates.HugeToriiGateFT.Flavor,"Fuzja natury i technologii doprowadziła do stworzenia zaawansowanej bramy torii, która jest odporna na gryzienie przez bobry.",-
minorunara.ToriiGates.HugeToriiGateIT.DisplayName,Wielka metalowa brama torii,-
minorunara.ToriiGates.HugeToriiGateIT.Description,"Bramy torii w Świątyni Kumano Hongu Taisha są tak ogromne, że można je zobaczyć z innej dzielnicy. Nie trzeba dodawać, że są niejadalne.",-
minorunara.ToriiGates.HugeToriiGateIT.Flavor,"„Ale myślałem, że torii pierwotnie były robione, aby wielkie bobry mogły je jeść?” —Pina",-
