ID,Text,Comment
Cordial.ForestTool.DisplayName,Лесной инструмент,-
Cordial.ForestTool.Description,Конфигурируемый инструмент для посадки смешанных лесов.,-
Coridal.ForestTool.Requirement,Требуемое здание: <SolidHighlight>{0}</SolidHighlight>,-
Cordial.ForestTool.ForestToolPanel.Title,Конфигурация инструмента леса,-
Cordial.ForestTool.ForestToolPanel.Description,Настройте типы деревьев и места для посадки.,-
Cordial.ForestTool.ForestToolPanel.ToggleTreeAll,Все типы лесных растений,-
Cordial.ForestTool.ForestToolPanel.ToggleEmpty,Позволить расчистки,-
Cordial.ForestTool.ForestToolError.Description,"Вам нужно разблокировать <SolidHighlight>{0}</SolidHighlight>, чтобы сажать деревья.",-
Cordial.ForestTool.BuildingLock,Это здание заперто:,-
Cordial.ForestTool.SpecLock,Это спецификация отсутствует:,-
