ID,Text,Comment
LV.HNT.Title,Farbe & Drehung,-
LV.HNT.Reset,Zurücksetzen,-
LV.HNT.KeybindingCopy,Hue kopieren und drehen,-
LV.HNT.KeybindingPaste,Fügen Sie Hue & Turn hinzu,-
LV.HNT.Color,Farbe,-
LV.HNT.FluidColor,Flüssige Farbe,-
LV.HNT.Rotation,Drehung,-
LV.HNT.RotationPivot,Drehpunkt,-
LV.HNT.Advanced,Erweiterte Optionen umschalten,-
LV.HNT.Translate,Please provide the text you would like me to translate.,-
LV.HNT.ToAll,An alle {0}:,-
LV.HNT.AllConfirm,Bist du dir sicher?,-
LV.HNT.ColorAll,Verwende diese Farbe,-
LV.HNT.ApplyAll,Verwenden Sie diese Einstellungen,-
LV.HNT.RotateRandomAll,Zufällige Rotation,-
LV.HNT.ResetAll,Zurücksetzen,-
LV.HNT.Scale,Maßstab,-
LV.HNT.RotationX,Rotation X,-
LV.HNT.RotationZ,Drehung Z,-
LV.HNT.Positioning,Positionierung,-
LV.HNT.Transparency,Transparenz,-
