ID,Text,Comment
Battery.Flywheels.SmallFlywheel.DisplayName,Kleines Schwungrad,-
Battery.Flywheels.SmallFlywheel.Description,"Ein kleines und geringkapazitives Schwungrad, das inline mit einer Welle gebaut ist. Plattformen können ähnlich wie Wellen über ihnen gebaut werden.",-
Battery.Flywheels.SmallFlywheel.FlavorDescription,"""Es ist absolut genial!"" - STHedgehog",-
Battery.Flywheels.SmallHorizontalFramedFlywheel.DisplayName,Kleines vertikales Rahmenschwungrad,-
Battery.Flywheels.SmallHorizontalFramedFlywheel.Description,"Ein kleines Schwungrad, das in einen Rahmen eingebaut ist.",-
Battery.Flywheels.SmallHorizontalFramedFlywheel.FlavorDescription,"""Das wird ein Wendepunkt sein"" - JC Der Bart",-
Battery.Flywheels.SmallVerticalFramedFlywheel.DisplayName,Kleines horizontal gerahmtes Schwungrad,-
Battery.Flywheels.SmallVerticalFramedFlywheel.Description,"Ein kleines Schwungrad, das in einen Rahmen eingebaut ist.",-
Battery.Flywheels.SmallVerticalFramedFlywheel.FlavorDescription,"""Das wird ein Wendepunkt sein"" - JC Der Bart",-
Battery.Flywheels.MediumFlywheel.DisplayName,Mittleres Schwungrad,-
Battery.Flywheels.MediumFlywheel.Description,Ein mittleres Schwungrad mit moderater Kapazität.,-
Battery.Flywheels.MediumFlywheel.FlavorDescription,Das Meisterwerk von Ol' Kazko,-
Battery.Flywheels.MediumHorizontalFramedFlywheel.DisplayName,Mittleres vertikales gerahmtes Schwungrad,-
Battery.Flywheels.MediumHorizontalFramedFlywheel.Description,"Ein mittelgroßer Schwungrad, das in einem Rahmen eingebaut ist.",-
Battery.Flywheels.MediumHorizontalFramedFlywheel.FlavorDescription,"„Was wäre, wenn wir die Zahnräder im Schwungrad verstauen?“ - Ol' Kazko",-
Battery.Flywheels.MediumVerticalFramedFlywheel.DisplayName,Mittleres horizontal gerahmtes Schwungrad,-
Battery.Flywheels.MediumVerticalFramedFlywheel.Description,"Ein mittleres Schwungrad, das in einem Rahmen integriert ist.",-
Battery.Flywheels.MediumVerticalFramedFlywheel.FlavorDescription,"„Was wäre, wenn wir die Zahnräder im Schwungrad platzieren?“ - Ol' Kazko",-
Battery.Flywheels.LargeFlywheel.DisplayName,Großes Schwungrad,-
Battery.Flywheels.LargeFlywheel.Description,Ein großes und höherkapazitäres Schwungrad.,-
Battery.Flywheels.LargeFlywheel.FlavorDescription,Das Meisterwerk von Ol' Kazko,-
Battery.Flywheels.LargeHorizontalFramedFlywheel.DisplayName,Großer vertikaler gerahmter Schwungrad,-
Battery.Flywheels.LargeHorizontalFramedFlywheel.Description,"Das größte Schwungrad, das in einem stabilen Rahmen konstruiert wurde.",-
Battery.Flywheels.LargeHorizontalFramedFlywheel.FlavorDescription,Der Höhepunkt der Schwungradtechnologie,-
Battery.Flywheels.LargeVerticalFramedFlywheel.DisplayName,Großes horizontal gerahmtes Schwungrad,-
Battery.Flywheels.LargeVerticalFramedFlywheel.Description,"Das größte Schwungrad, das in einem stabilen Rahmen konstruiert wurde.",-
Battery.Flywheels.LargeVerticalFramedFlywheel.FlavorDescription,Der Höhepunkt der Schwungradtechnologie,-
Battery.Flywheels.MediumHorizontalJunction.DisplayName,Mittlerer Schwungradkreuzung,-
Battery.Flywheels.MediumHorizontalJunction.Description,"Ein mittlerer Rahmen, der verwendet werden kann, um die Verbindung gestapelter mittlerer Rahmen von Schwungrädern zu unterstützen.",-
Battery.Flywheels.MediumHorizontalJunction.FlavorDescription,Der Himmel ist die Grenze!,-
Battery.Flywheels.LargeHorizontalJunction.DisplayName,Große horizontale Anschlussstelle,-
Battery.Flywheels.LargeHorizontalJunction.Description,"Ein großer stabiler Rahmen, der zur Unterstützung der Verbindung gestapelter großer gerahmter Schwungräder verwendet werden kann.",-
Battery.Flywheels.LargeHorizontalJunction.FlavorDescription,Der Himmel ist die Grenze!,-
Battery.Flywheels.ToolGroups.Flywheels.DisplayName,Schwungräder,-
Battery.Flywheels.ToolGroups.Junctions.DisplayName,Kreuzungen,-
Battery.Flywheels.UI.PowerDecayLabel,Leistungsverlust,-
Battery.Flywheels.UI.CapacityLabel,Kapazität,-
Battery.Flywheels.UI.MoreInfoText.SelfStackable,Boden / Selbst-stapelbar,-
Battery.Flywheels.UI.MoreInfoText.SelfStackableText,Kann entweder auf dem Boden oder auf einem anderen gebaut werden.,-
