ID,Text,Comment
ToolGroups.Nadca.ThoseMetalOverhangs,Those Overhangs,-
ToolGroups.Nadca.ThosePlatforms,Those Platforms,-
Nadca.Subgroup_SomeMetalPlatforms.DisplayName,Some Metal Platforms,-
Nadca.Subgroup_SomeMetalOverhangs.DisplayName,Some Metal Overhangs,-
Nadca.Subgroup_SomePlatforms.DisplayName,Some Platforms,-
Nadca.Overhang8x1.DisplayName,Overhang 8x1,-
Nadca.Overhang9x1.DisplayName,Overhang 9x1,-
Nadca.Overhang10x1.DisplayName,Overhang 10x1,-
Nadca.Overhang11x1.DisplayName,Overhang 11x1,-
Nadca.Overhang12x1.DisplayName,Overhang 12x1,-
Nadca.Overhang13x1.DisplayName,Overhang 13x1,-
Nadca.Overhang10x5.DisplayName,Overhang 10x5,-
Nadca.Overhang.T.5x1.DisplayName,T Overhang 5x1,-
Nadca.Overhang.T.10x1.DisplayName,T Overhang 10x1,-
Nadca.Overhang3x3+22.DisplayName,Big Long 3x3+22,-
Nadca.Platform3x3x3.DisplayName,Large Platform 3x3x3,-
Nadca.Platform4x4x3.DisplayName,Larger Platform 4x4x3,-
Nadca.Platform5x5x3.DisplayName,Mega Platform 5x5x3,-
Nadca.Platform5x5x3.Access.DisplayName,Mega Platform 5x5x3 with hatch,-
Nadca.Platform10x10.Description,A single high platform that requires a foundation built at all four corners to support it.,-
Nadca.Platform10x10.DisplayName,Giga Platform 10x10,-
Nadca.RustedPlatform20x20.FlavorDescription,Don't get hurt!,-
Nadca.RustedPlatform20x20.DisplayName,Rusted Platform 20x20,-
Nadca.PlatformMetalBlock.Description,Water-permeable block for platform bases,-
Nadca.PlatformMetalBlock.DisplayName,Rusted Platform Block,-
Nadca.PlatformMetalBase20x20.Description,Water-permeable base for Rusted Platform 20x20,-
Nadca.PlatformMetalBase20x20.DisplayName,20x20 Rusted Base,-
Nadca.PlatformWoodBlock.Description,Water-barrier block for some giga platforms. Can be used as a levee.,-
Nadca.PlatformWoodBlock.DisplayName,Wooden Platform Block,-
Nadca.MetalPlatform1x1.Description,Ideal para llenar huecos en plataformas con alfeizar,-
Nadca.MetalPlatform1x1.DisplayName,Metal Platform 1x1,-
Nadca.MetalPlatform3x3.Corner.Description,The best platforms stand in the corner.,-
Nadca.MetalPlatform3x3.Corner.DisplayName,Corner Metal Platform 3x3,-
Nadca.MetalPlatform4x4.Corner.Description,Corner platforms don't stand alone,-
Nadca.MetalPlatform4x4.Corner.DisplayName,Corner Metal Platform 4x4,-
Nadca.MetalPlatform4x4.Access.Description,Metal platform with a corner cut out for access.,-
Nadca.MetalPlatform4x4.Access.DisplayName,Metal Platform 4x4 with hatch,-
Nadca.MetalPlatform5x10.Description,One platform that will suit the needs of two.,-
Nadca.MetalPlatform5x10.DisplayName,Big Overhang 10x5,-
Nadca.MetalPlatform15x15.Description,A solid foundation,-
Nadca.MetalPlatform15x15.DisplayName,Biggest Metal Platform 15x15,-
Nadca.MetalPlatform5x5.Lip.Description,Extending your platforms has never been easier!,-
Nadca.MetalPlatform5x5.Lip.DisplayName,Metal Platform 5x5 Ledge A,-
Nadca.MetalPlatform5x5.Lip2.Description,Perfect for seamless access to your upper level.,-
Nadca.MetalPlatform5x5.Lip2.DisplayName,Metal Platform 5x5 Ledge B,-
Nadca.MetalPlatform5x5.Lip2b.Description,Create a network underneath your platforms.,-
Nadca.MetalPlatform5x5.Lip2b.DisplayName,Metal Platform 5x5 Ledge B Long,-
Nadca.MetalPlatform5x5.Lip3.Description,Future-proof your platforms now!,-
Nadca.MetalPlatform5x5.Lip3.DisplayName,Metal Platform 5x5 Ledge C,-
Nadca.MetalPlatform5x5.Access.Description,Metal Platform 5x5 with an access opening for even more seamless builds,-
Nadca.MetalPlatform5x5.Access.DisplayName,Metal Platform 5x5 with hatch,-
Nadca.TunnelPlatform.DisplayName,Water Barriered Tunnel Platform,-
Nadca.TunnelPlatform.Description,Platform that prevents water from getting in. With magic.,-
