ID,Text,Comment
Tobbert.HorizontalPlatformEnd1x1.DisplayName,Plateforme latérale 1x1,-
Tobbert.HorizontalPlatformEnd1x1.Description,"Une plateforme qui peut être placée sur le côté des falaises, des digues, des plateformes renforcées ou des pièces centrales de plateforme.",-
Tobbert.HorizontalPlatformEnd1x1.FlavorDescription,Imaginez si vous pouviez les empiler les uns sur les autres.,-
Tobbert.HorizontalPlatformEnd2x1.DisplayName,Plateforme latérale 2x1,-
Tobbert.HorizontalPlatformEnd2x1.Description,"Une plateforme qui peut être placée sur le flanc des falaises, des plateformes renforcées ou des morceaux de plateforme intermédiaires.",-
Tobbert.HorizontalPlatformEnd2x1.FlavorDescription,"Double les plateformes, double le plaisir !",-
Tobbert.HorizontalPlatformEnd3x1.DisplayName,Plateforme latérale 3x1,-
Tobbert.HorizontalPlatformEnd3x1.Description,"Une plateforme qui peut être placée sur le bord des falaises, des plateformes renforcées ou des pièces intermédiaires de plateforme.",-
Tobbert.HorizontalPlatformEnd3x1.FlavorDescription,C'est pour les looooooongs garçons.,-
Tobbert.HorizontalPlatformEnd4x1.DisplayName,Plateforme latérale 4x1,-
Tobbert.HorizontalPlatformEnd4x1.Description,"Une plateforme qui peut être placée sur le côté des falaises, des plateformes renforcées ou des morceaux de plateforme intermédiaire.",-
Tobbert.HorizontalPlatformEnd4x1.FlavorDescription,Ce n'est pas comme ça que fonctionne la physique.,-
Tobbert.HorizontalPlatformMiddle1x1.DisplayName,Pièce centrale de plateforme latérale 1 haute,-
Tobbert.HorizontalPlatformMiddle1x1.Description,Une plateforme qui peut être placée n'importe où. Laissez libre cours à votre créativité !,-
Tobbert.HorizontalPlatformMiddle1x1.FlavorDescription,Construisons une ville flottante !,-
Tobbert.HorizontalPlatformMiddle1x2.DisplayName,"Pièce centrale de plate-forme latérale 1,5 m de haut",-
Tobbert.HorizontalPlatformMiddle1x2.Description,Une plateforme qui peut être placée n'importe où. Laissez libre cours à votre créativité !,-
Tobbert.HorizontalPlatformMiddle1x2.FlavorDescription,Quand un high n'est tout simplement pas suffisant.,-
Tobbert.ReinforcedLadder.DisplayName,Échelle renforcée,-
Tobbert.ReinforcedLadder.Description,C'est une échelle qui peut également être utilisée en combinaison avec les Plates-formes latérales. Elle sert d'option au look meilleur que les levées.,-
Tobbert.ReinforcedLadder.FlavorDescription,Quand une échelle normale ne suffit pas.,-
Tobbert.ReinforcedPlatform.DisplayName,Plateforme renforcée,-
Tobbert.ReinforcedPlatform.Description,Une plateforme qui peut être utilisée en combinaison avec les Plates-formes Latérales. Elle constitue une option plus esthétique que les levees.,-
Tobbert.ReinforcedPlatform.FlavorDescription,Empile-le jusqu'en haut !,-
Tobbert.DoubleReinforcedPlatform.DisplayName,Plateforme double renforcée,-
Tobbert.DoubleReinforcedPlatform.Description,Une plateforme qui peut être utilisée en combinaison avec les plates-formes latérales. Elle constitue une option plus esthétique que les digues.,-
Tobbert.DoubleReinforcedPlatform.FlavorDescription,"Empile, empile-le jusqu'en haut !",-
Tobbert.TripleReinforcedPlatform.DisplayName,Plateforme triple renforcée,-
Tobbert.TripleReinforcedPlatform.Description,Une plateforme qui peut être utilisée en combinaison avec les plateformes latérales. Sert d'option plus esthétique que les digues.,-
Tobbert.TripleReinforcedPlatform.FlavorDescription,"Empile, empile, empile-le jusqu'en haut !",-
Tobbert.CategoryReinforcedPlatforms.DisplayName,Plateformes renforcées,-
Tobbert.CategorySidePlatforms.DisplayName,Plateformes latérales,-
