ID,Text,Comment
Lapantouflemagic.Pitwarehouse.DisplayName,坑道倉庫,-
Lapantouflemagic.Pitwarehouse.Description,一個適合放在偏遠角落的上方存儲空間。,-
Lapantouflemagic.Pitwarehouse.FlavorDescription,「希望底部的東西不會腐爛。」,-
Lapantouflemagic.Pitpile.DisplayName,坑堆,-
Lapantouflemagic.Pitpile.Description,一個適合放置在偏遠角落的頂部存儲網站。,-
Lapantouflemagic.Pitpile.FlavorDescription,"「我可以輕易地在那裡隱藏一具尸體。」  
- 咬噬者傑克",-
Lapantouflemagic.SCoveredtank.DisplayName,小型覆蓋水箱,-
Lapantouflemagic.SCoveredtank.Description,一個較小的儲存槽，但可以在上面建造。,-
Lapantouflemagic.Longwarehouse.DisplayName,長型小倉庫,-
Lapantouflemagic.Longwarehouse.Description,一個稍微長一些的倉庫，以填補難以到達的角落。,-
Lapantouflemagic.Longwarehouse.FlavorDescription,"「我想知道儲存委員會接下來會想出什麼奇怪的形狀。」  
—一隻伐木工的海狸",-
Lapantouflemagic.2x2pile.DisplayName,中等堆積,-
Lapantouflemagic.2x2pile.FlavorDescription,正確交替的木頭方向是很重要的。,-
Lapantouflemagic.Longpile.DisplayName,長小堆,-
Lapantouflemagic.Longpile.Description,一個延長的小堆，用於難以觸及的角落。,-
Lapantouflemagic.Longpile.FlavorDescription,老實說，我原本期待的是一個波浪形的儲存裝置。,-
Lapantouflemagic.PitTank.DisplayName,坑槽,-
Lapantouflemagic.PitTank.FlavorDescription,不要丟掉桶子，人類為這種事發動過戰爭。,-
Lapantouflemagic.SCoveredtank.FlavorDescription,不是存水的最佳方式，但至少它會保持乾淨。,-
Lapantouflemagic.GigargantuanPile.DisplayName,巨型儲存堆,-
Lapantouflemagic.GigargantuanWarehouse.DisplayName,巨型倉庫,-
Lapantouflemagic.GigargantuanStorage.Description,"儲存大量的一種類型資源。  
<color=yellow>需要梯子才能進入</color>  
中央的 7x1 行不需要底部有支撐。  
<color=#FF6EC7>頂部的玻璃板由 </color><b>WhitePaws</b><color=#FF6EC7> 憑藉自我宣傳活動慷慨提供。</color>",-
Lapantouflemagic.GigargantuanStorage.FlavorDescription,希望那不是放射性玻璃...,-
Lapantouflemagic.GigargantuanStorageWP.Description,儲存大量同一種類的資源。中央的7x1線條不需要下面有支撐。,-
Lapantouflemagic.GigargantuanStorageWP.FlavorDescription,你以為會有人免費給你那麼多玻璃嗎？誰會那樣做呢？,-
