ID,Text,Comment
LV.CFac.FromFaction,От {0},-
LV.CFac.ValidatePlanter,Другой контейнер для {0} уже существует.,-
LV.CFac.GoodLocked,Хороший {0} необходим для здания.,-
LV.CFac.NeedLocked,Нужен {0} для здания или товара.,-
LV.CFac.Faction,"Фракция: Выберите, какие предметы добавить в эту фракцию",-
LV.CFac.Filters,Фильтры,-
LV.CFac.FilterCheck,Проверено,-
LV.CFac.FilterUncheck,Непроверенный,-
LV.CFac.Buildings,Здания,-
LV.CFac.Plants,Растения,-
LV.CFac.Goods,Товары,-
LV.CFac.Needs,Нужды,-
LV.CFac.PlanterGroup,Группа плантеров: {0},-
LV.CFac.HideSimilar,Скрыть похожие здания,-
LV.CFac.ShowFolder,Откройте папку настроек,-
LV.CFac.UpdateNotify,"В этом моде произошли значительные изменения. Пожалуйста, ознакомьтесь с описанием мода для получения новых инструкций. Спасибо!",-
LV.CFac.NeedPlanter,"Вы выбрали растение или урожай из группы {0}, но не выбрали ни одно здание для его выращивания. Пожалуйста, убедитесь, что вы выбрали такое здание (обычно в группе Продукты или Дерево), чтобы добавить его, иначе игра может зависнуть.",-
