ID,Text,Comment
menu.rotatingsun,旋转太阳选项,-
rotatingsun.optionsheader,旋转阳光选项,-
rotatingsun.enablesun,启用太阳旋转,-
rotatingsun.enablerotatingsunflowers,启用向日葵旋转,-
rotatingsun.SunAngleTemperateHeader,温带天气中的太阳角度,-
rotatingsun.SunAngleDroughtHeader,干旱期间的太阳角度,-
rotatingsun.SunAngleLowTemperate,温和的太阳角度低,-
rotatingsun.SunAngleHighTemperate,温和的太阳角度高,-
rotatingsun.SunAngleLowDrought,干旱阳角低,-
rotatingsun.SunAngleHighDrought,干旱 阳光角度高,-
rotatingsun.MoonAngle,月球的角度,-
rotatingsun.SunAngleLowBadtide,低潮太阳角度,-
rotatingsun.SunAngleHighBadtide,坏潮阳角高,-
