ID,Text,Comment
Knatte.DE_RMCorner.DisplayName,装飾金属コーナー,-
Knatte.DE_RMCorner.Description,リブ付き金属ダムをコーナーにしてください。,-
Knatte.DE_RMCorner.FlavorDescription,水をブロックしません,-
//,Error,-
Knatte.DE_RMSQCorner.DisplayName,装飾金属の四隅,-
Knatte.DE_RMSQCorner.Description,リブ付き金属ダムをコーナーに設置しましょう。,-
Knatte.DE_RMSQCorner.FlavorDescription,水をブロックしません。,-
Knatte.DE_RMDiagonal.DisplayName,装飾金属対角線,-
Knatte.DE_RMDiagonal.Description,リブメタルダムを横に移動させてください。,-
Knatte.DE_RMDiagonal.FlavorDescription,水をブロックしません,-
Knatte.DE_RMDiagonalW.DisplayName,リーブ・ダイアゴナル,-
Knatte.DE_RMDiagonalW.Description,リブ付き金属ダムを横に移動させてください。,-
Knatte.DE_RMDiagonalW.FlavorDescription,水は通らないだろう,-
Knatte.DE_RMInvCorner.DisplayName,装飾金属内隅,-
Knatte.DE_RMInvCorner.Description,リブ付きメタルダムをコーナーにします。,-
Knatte.DE_RMInvCorner.FlavorDescription,水をブロックしません,-
Knatte.DE_RMInvCornerW.DisplayName,内部コーナーを留める,-
Knatte.DE_RMInvCornerW.Description,リブ付き金属ダムを角にしましょう。,-
Knatte.DE_RMInvCornerW.FlavorDescription,水は通りません,-
Knatte.DE_RMSlope.DisplayName,装飾金属スロープ,-
Knatte.DE_RMSlope.Description,リブ付き金属ダムを傾斜にしましょう。,-
Knatte.DE_RMSlope.FlavorDescription,水をブロックしない,-
Knatte.DE_RMCornerSlope.DisplayName,装飾メタルスロープコーナー,-
Knatte.DE_RMCornerSlope.Description,リブ付き金属ダムをコーナーにしましょう。,-
Knatte.DE_RMCornerSlope.FlavorDescription,水をブロックしません,-
Knatte.DE_RMSquare.DisplayName,装飾用の金属キューブ,-
Knatte.DE_RMSquare.Description,リブ付き金属製の正方形,-
Knatte.DE_RMSquare.FlavorDescription,水をブロックしない,-
Knatte.DE_RMSquare2W.DisplayName,金属レヴェ 2x2,-
Knatte.DE_RMSquare3W.DisplayName,金属リーバー 3x3,-
Knatte.DE_RMSquareW.Description,リブ付き金属で大きくしましょう。,-
Knatte.DE_RMSquareW.FlavorDescription,水は通らないでしょう。,-
Knatte.DE_RMSquareW1x1.DisplayName,メタルレベル 1x1,-
Knatte.DE_RMSquareW1x2.DisplayName,メタルレビー 1x2,-
Knatte.DE_RMSquareW1x3.DisplayName,金属の堰 1x3,-
Knatte.DE_RMSquareW2x1.DisplayName,メタルレヴィ 2x1,-
Knatte.DE_RMSquareW2x3.DisplayName,メタルレビー 2x3,-
Knatte.DE_RMSquareW3x1.DisplayName,メタルレヴェ 3x1,-
Knatte.DE_RMSquareW3x2.DisplayName,メタルリービー 3x2,-
Knatte.DE_RMCorner2X.DisplayName,装飾用メタルコーナー ダブルハイト,-
Knatte.DE_RMCorner2X.Description,リブ付き金属ダムをコーナーに置きましょう。,-
Knatte.DE_RMCorner2X.FlavorDescription,水をブロックしません,-
Knatte.DE_RMSQCorner2X.DisplayName,装飾メタルスクエアコーナー ダブルハイト,-
Knatte.DE_RMSQCorner2X.Description,リブ付き金属ダムをコーナーにしましょう。,-
Knatte.DE_RMSQCorner2X.FlavorDescription,水を遮ることはありません,-
Knatte.DE_RMDiagonal2X.DisplayName,"装飾メタル対角線  
二重の高さ",-
Knatte.DE_RMDiagonal2X.Description,リブ付きメタルダムを横に移動させてください。,-
Knatte.DE_RMDiagonal2X.FlavorDescription,水をブロックしません,-
Knatte.DE_RMInvCornerS2X.DisplayName,装飾金属内部コーナーサイドプラットフォームダブルハイト,-
Knatte.DE_RMInvCornerS2X.Description,リブ付き金属ダムを横に移動させ、プラットフォームを設置してください。,-
Knatte.DE_RMInvCornerS2X.FlavorDescription,水をブロックしません,-
Knatte.DE_RMInvCorner2X.DisplayName,"装飾金属内部コーナー  
ダブルハイト",-
Knatte.DE_RMInvCorner2X.Description,リブ付き金属ダムをコーナーにしましょう。,-
Knatte.DE_RMInvCorner2X.FlavorDescription,水をブロックしない,-
Knatte.DE_RMInvCornerW2X.DisplayName,メタル・リービー内部コーナー ダブルハイト,-
Knatte.DE_RMInvCornerW2X.Description,リブ付き金属ダムをコーナーにしましょう。,-
Knatte.DE_RMInvCornerW2X.FlavorDescription,水は通らないでしょう,-
Knatte.DE_RMSlope2X.DisplayName,"装飾金属スロープ  
ダブルハイト",-
Knatte.DE_RMSlope2X.Description,リブ付き金属ダムを傾斜させましょう。,-
Knatte.DE_RMSlope2X.FlavorDescription,水をブロックしない,-
Knatte.DE_RMCornerSlope2X.DisplayName,装飾金属傾斜コーナー ダブルハイト,-
Knatte.DE_RMCornerSlope2X.Description,リブ付き金属ダムをコーナーにしましょう。,-
Knatte.DE_RMCornerSlope2X.FlavorDescription,水をブロックしない,-
Knatte.DE_RMCorner3X.DisplayName,装飾金属コーナー トリプルハイト,-
Knatte.DE_RMCorner3X.Description,リブ付き金属ダムをコーナーに配置しましょう。,-
Knatte.DE_RMCorner3X.FlavorDescription,水をブロックしない,-
Knatte.DE_RMInvCorner3X.DisplayName,装飾金属内隅 トリプルハイト,-
Knatte.DE_RMInvCorner3X.Description,リブメタルダムをコーナーにしてください。,-
Knatte.DE_RMInvCorner3X.FlavorDescription,水をブロックしない,-
Knatte.DE_RMSlope3X.DisplayName,装飾用金属スロープトリプルハイト,-
Knatte.DE_RMSlope3X.Description,リブ付き金属ダムを傾斜させる。,-
Knatte.DE_RMSlope3X.FlavorDescription,水をブロックしない,-
Knatte.DE_RMInvCornerW3X.DisplayName,リーブ内部コーナートリプルハイト,-
Knatte.DE_RMInvCornerW3X.Description,リブ付き金属ダムをコーナーにしましょう。,-
Knatte.DE_RMInvCornerW3X.FlavorDescription,水は通らないでしょう。,-
Knatte.DE_RMSlopeW_1.DisplayName,金属堤防傾斜,-
Knatte.DE_RMSlopeW_2.DisplayName,メタルレリーフスロープ ダブルハイト,-
Knatte.DE_RMSlopeW_3.DisplayName,"メタルレベルスロープ  
トリプルハイト",-
Knatte.DE_RMSlopeW.Description,水を完全に遮るリブ付き金属スロープ,-
Knatte.DE_RMSlopeW.FlavorDescription,水は通りません。,-
Knatte.DE_RMSlopeS.DisplayName,装飾金属階段,-
Knatte.DE_RMSlopeS.Description,リブ付き金属ダムを踏ませてください。,-
Knatte.DE_RMSlopeS.FlavorDescription,水をブロックしません,-
Knatte.DE_RMToolGroup.Decoration,装飾ブロック,-
Knatte.DE_RMCategoryDam.DisplayName,リブ付き金属装飾品,-
Knatte.DE_RMCategoryDam.Des,水をブロックしません,-
Knatte.DE_RMCategoryLevees.DisplayName,形状付きリブ金属堤防部品,-
Knatte.DE_RMCategoryLeveesSQ.DisplayName,正方形リブ付き金属堤防部品,-
Knatte.DE_RMCategoryDam2.DisplayName,リブ付き金属装飾ピース2,-
Knatte.DE_RMCategoryDam2.Des,水をブロックしない,-
Knatte.DE_RMDoubleInvSlope.DisplayName,金属二重逆スロープ,-
Knatte.DE_RMDoubleInvSlope.Description,リブ付き金属堤防と逆勾配コンボ,-
Knatte.DE_RMDoubleInvSlope.FlavorDescription,橋を建設しましょう。,-
Knatte.DE_RMSquare1x2.DisplayName,装飾金属キューブ 1x2,-
Knatte.DE_RMSquare1x3.DisplayName,装飾用メタルキューブ 1x3,-
Knatte.DE_RMSquare_B.Description,水を遮らずに突き出すことができるリブ付き金属製の四角形。,-
Knatte.DE_RMSquare_B.FlavorDescription,それは浮いています。,-
Knatte.DE_RMInvSlope1x1.DisplayName,メタルインバーテッドスロープ 1x1,-
Knatte.DE_RMInvSlope1x2.DisplayName,メタルインバーテッドスロープ 1x2,-
Knatte.DE_RMInvSlope1x3.DisplayName,金属逆スロープ1x3,-
Knatte.DE_RMInvSlope2x1.DisplayName,金属反転スロープ 2x1,-
Knatte.DE_RMInvSlope.Description,水を遮ることなく突き出すことができるリブ付きの金属製の四角形。,-
Knatte.DE_RMInvSlope.FlavorDescription,出発します。,-
Knatte.DE_RMInvTrapezium1x1.DisplayName,逆台形 1x1,-
Knatte.DE_RMBlockDecoration.DisplaynameLocKey,美しいダム,-
Knatte.DE_RMInvSlopeW1x1.DisplayName,逆転メタル堤防スロープ 1x1,-
Knatte.DE_RMInvSlopeW1x2.DisplayName,逆さ金属堤防傾斜 1x2,-
Knatte.DE_RMInvSlopeW1x3.DisplayName,逆向き金属堤防傾斜 1x3,-
Knatte.DE_RMInvSlopeW2x1.DisplayName,逆転金属堰スロープ 2x1,-
Knatte.DE_RMInvSlopeW.Description,"突起するリブ付き金属の四角形。 
配置はヘックスブロックで、全ての水を受け止め、他のブロックは上下からのみ作用する、まるで内蔵された透水性のない床のようです。",-
Knatte.DE_RMInvSlopeW.FlavorDescription,出かけましょう,-
Knatte.DE_RMInvTrapeziumW1x1.DisplayName,逆台形金属堤防 1x1,-
Knatte.DE_RMDoubleInvSlopeW.Description,"両側が突き出たリブ付き金属の四角形。
配置は六角形ブロックで、他のブロックは上下からのみ水を通す、まるで組み込まれた防水床のようです。",-
Knatte.DE_RMDoubleInvSlopeW.FlavorDescription,橋を建設しましょう。,-
Knatte.DE_SMCorner.DisplayName,装飾用金属コーナー,-
Knatte.DE_SMCorner.Description,滑らかな金属製のダムを角にしましょう。,-
Knatte.DE_SMCorner.FlavorDescription,水をブロックしない,-
Knatte.DE_SMSQCorner.DisplayName,装飾用金属スクエアコーナー,-
Knatte.DE_SMSQCorner.Description,滑らかな金属のダムを角にしましょう。,-
Knatte.DE_SMSQCorner.FlavorDescription,水をブロックしません,-
Knatte.DE_SMDiagonal.DisplayName,装飾金属ダイアゴナル,-
Knatte.DE_SMDiagonal.Description,スムーズメタルダムを横に移動させよう。,-
Knatte.DE_SMDiagonal.FlavorDescription,水をブロックしません,-
Knatte.DE_SMDiagonalW.DisplayName,リーヴ・ダイアゴナル,-
Knatte.DE_SMDiagonalW.Description,スムーズメタルダムを横に移動させてください。,-
Knatte.DE_SMDiagonalW.FlavorDescription,水は通らないでしょう。,-
Knatte.DE_SMInvCorner.DisplayName,装飾用金属内部コーナー,-
Knatte.DE_SMInvCorner.Description,スムースメタルダムをコーナーにしましょう。,-
Knatte.DE_SMInvCorner.FlavorDescription,水をブロックしません,-
Knatte.DE_SMInvCornerW.DisplayName,リーブ内部コーナー,-
Knatte.DE_SMInvCornerW.Description,滑らかな金属のダムを角にしましょう。,-
Knatte.DE_SMInvCornerW.FlavorDescription,水は通らないでしょう,-
Knatte.DE_SMSlope.DisplayName,装飾金属スロープ,-
Knatte.DE_SMSlope.Description,滑らかな金属のダムを傾斜させる。,-
Knatte.DE_SMSlope.FlavorDescription,水をブロックしません,-
Knatte.DE_SMCornerSlope.DisplayName,装飾用金属スロープコーナー,-
Knatte.DE_SMCornerSlope.Description,スムーズな金属ダムを角張らせよう。,-
Knatte.DE_SMCornerSlope.FlavorDescription,水をブロックしません,-
Knatte.DE_SMSquare.DisplayName,装飾用金属キューブ,-
Knatte.DE_SMSquare.Description,ダムの滑らかな金属の四角。,-
Knatte.DE_SMSquare.FlavorDescription,水をブロックしません,-
Knatte.DE_SMSquare2W.DisplayName,メタルレヴィ 2x2,-
Knatte.DE_SMSquare3W.DisplayName,メタルレヴィ 3x3,-
Knatte.DE_SMSquareW.Description,ダムは滑らかな金属で大きくなるようにしましょう。,-
Knatte.DE_SMSquareW.FlavorDescription,水は通らないだろう,-
Knatte.DE_SMSquareW1x1.DisplayName,メタルレヴェ 1x1,-
Knatte.DE_SMSquareW1x2.DisplayName,メタルレヴィー 1x2,-
Knatte.DE_SMSquareW1x3.DisplayName,メタルレヴィ 1x3,-
Knatte.DE_SMSquareW2x1.DisplayName,メタルレヴィ2x1,-
Knatte.DE_SMSquareW2x3.DisplayName,メタルレヴィー2x3,-
Knatte.DE_SMSquareW3x1.DisplayName,メタルレベル 3x1,-
Knatte.DE_SMSquareW3x2.DisplayName,メタルレヴィ 3x2,-
Knatte.DE_SMCorner2X.DisplayName,装飾メタルコーナー ダブルハイト,-
Knatte.DE_SMCorner2X.Description,スムーズな金属のダムを角にしよう。,-
Knatte.DE_SMCorner2X.FlavorDescription,水をブロックしません,-
Knatte.DE_SMSQCorner2X.DisplayName,装飾用金属製角コーナー ダブルハイト,-
Knatte.DE_SMSQCorner2X.Description,滑らかな金属のダムを角にしましょう。,-
Knatte.DE_SMSQCorner2X.FlavorDescription,水をブロックしません,-
Knatte.DE_SMDiagonal2X.DisplayName,"デコレーション メタル 斜め 
ダブルハイト",-
Knatte.DE_SMDiagonal2X.Description,スムーズメタルダムを横に移動させてください。,-
Knatte.DE_SMDiagonal2X.FlavorDescription,水をブロックしない,-
Knatte.DE_SMInvCornerS2X.DisplayName,装飾メタル内部コーナーサイドプラットフォームダブルハイト,-
Knatte.DE_SMInvCornerS2X.Description,滑らかな金属製のダムを横に移動させ、プラットフォームを設置してください。,-
Knatte.DE_SMInvCornerS2X.FlavorDescription,水をブロックしない,-
Knatte.DE_SMInvCorner2X.DisplayName,"装飾用金属内部コーナー  
ダブルハイト",-
Knatte.DE_SMInvCorner2X.Description,滑らかな金属のダムを角にさせよう。,-
Knatte.DE_SMInvCorner2X.FlavorDescription,水がブロックされません,-
Knatte.DE_SMInvCornerW2X.DisplayName,メタルレヴィ内部コーナー ダブルハイト,-
Knatte.DE_SMInvCornerW2X.Description,滑らかな金属製のダムを角にしましょう。,-
Knatte.DE_SMInvCornerW2X.FlavorDescription,水は通りません。,-
Knatte.DE_SMSlope2X.DisplayName,"装飾金属スロープ  
ダブルハイト",-
Knatte.DE_SMSlope2X.Description,スムーズな金属ダムを傾けてください。,-
Knatte.DE_SMSlope2X.FlavorDescription,水をブロックしません,-
Knatte.DE_SMCornerSlope2X.DisplayName,"装飾用金属傾斜コーナー  
二重の高さ",-
Knatte.DE_SMCornerSlope2X.Description,滑らかな金属のダムを角にしましょう。,-
