ID,Text,Comment
Cordial.Building.Forester.Description,Принудительная посадка:,-
Cordial.ForesterUpdate.Fragment.NoUpdateOption,Никто,-
Cordial.PlantingOverrideTool.Crop.DisplayName,Инструмент для переопределения посадки crops,-
Cordial.PlantingOverrideTool.Crop.Description,Переопределить посадку существующих культур,-
Cordial.PlantingOverrideTool.Tree.DisplayName,Инструмент переопределения лесного зонирования,-
Cordial.PlantingOverrideTool.Tree.Description,Замена посадки существующих деревьев или кустарников,-
Cordial.PlantingOverrideTool.PlantingOverrideToolPanel.Title,Конфигурация переопределения посадки,-
Cordial.PlantingOverrideTool.PlantingOverrideToolPanel.Description,Замените существующее растение на:,-
Cordial.PlantingOverrideTool.PlantingOverrideToolPanel.CuttingAreaRemove,Отключите область обрезки после посадки,-
Cordial.PlantBeehiveTool.DisplayName,Переопределение улья,-
Cordial.PlantBeehiveTool.Description,Замените растение на улей.,-
Cordial.PlantBeehiveTool.FactionLock,Этот инструмент недоступен для:,-
Cordial.PlantBeehiveTool.BuildingLock,Это здание заперто:,-
Cordial.PlantBeehiveTool.Unlock,Инструмент разблокирован!,-
