ID,Text,Comment
LV.HNT.Title,Оттенок и Поворот,-
LV.HNT.Reset,Сбросить,-
LV.HNT.KeybindingCopy,Скопируйте оттенок и поворот,-
LV.HNT.KeybindingPaste,Пастельный оттенок и поворот,-
LV.HNT.Color,Цвет,-
LV.HNT.Rotation,Вращение,-
LV.HNT.RotationPivot,Точка вращения,-
LV.HNT.Advanced,Переключить дополнительные параметры,-
LV.HNT.Translate,"Пожалуйста, предоставьте текст, который вы хотите перевести.",-
LV.HNT.ToAll,Ко всем {0}:,-
LV.HNT.AllConfirm,Вы уверены?,-
LV.HNT.ColorAll,Используйте этот цвет,-
LV.HNT.ApplyAll,Используйте эти настройки,-
LV.HNT.RotateRandomAll,Случайная ротация,-
LV.HNT.ResetAll,Сбросить,-
LV.HNT.Scale,Масштаб,-
LV.HNT.RotationX,Ротация X,-
LV.HNT.RotationZ,Ротация Z,-
LV.HNT.Positioning,Позиционирование,-
