ID,Text,Comment
Cordial.Building.Forester.Description,Принудительная посадка:,-
Cordial.ForesterUpdate.Fragment.NoUpdateOption,Никакой,-
Cordial.PlantingOverrideTool.Crop.DisplayName,Инструмент переопределения посева растений,-
Cordial.PlantingOverrideTool.Crop.Description,Переопределить посадку существующих культур,-
Cordial.PlantingOverrideTool.Tree.DisplayName,Инструмент переопределения лесозаготовок,-
Cordial.PlantingOverrideTool.Tree.Description,Переопределить посадку существующих деревьев или кустарников,-
Cordial.PlantingOverrideTool.PlantingOverrideToolPanel.Title,Конфигурация переопределения посадки,-
Cordial.PlantingOverrideTool.PlantingOverrideToolPanel.Description,Заменить существующее растение на:,-
Cordial.PlantingOverrideTool.PlantingOverrideToolPanel.CuttingAreaRemove,Отключить область вырубки после посадки,-
Cordial.PlantBeehiveTool.DisplayName,Перекрытие улья,-
Cordial.PlantBeehiveTool.Description,Замените растение на ульи.,-
Cordial.PlantBeehiveTool.FactionLock,Этот инструмент недоступен для:,-
Cordial.PlantBeehiveTool.BuildingLock,Это здание закрыто:,-
Cordial.PlantBeehiveTool.Unlock,Инструмент разблокирован!,-
