ID,Text,Comment
Lapantouflemagic.Pitwarehouse.DisplayName,坑仓库,-
Lapantouflemagic.Pitwarehouse.Description,一个适合放在偏僻角落的顶部存取存储空间。,-
Lapantouflemagic.Pitwarehouse.FlavorDescription,“希望底部的东西不会腐烂。”,-
Lapantouflemagic.Pitpile.DisplayName,坑堆,-
Lapantouflemagic.Pitpile.Description,一个适合放置在偏远角落的顶部存储空间。,-
Lapantouflemagic.Pitpile.FlavorDescription,"“我可以轻松地把尸体藏在里面”  
- 撕咬者杰克",-
Lapantouflemagic.SCoveredtank.DisplayName,小型覆盖罐,-
Lapantouflemagic.SCoveredtank.Description,一个较小的储存罐，但可以在其上建造。,-
Lapantouflemagic.Longwarehouse.DisplayName,长小仓库,-
Lapantouflemagic.Longwarehouse.Description,一个稍微长一些的仓库，以填补难以到达的角落。,-
Lapantouflemagic.Longwarehouse.FlavorDescription,"“我想知道存储委员会接下来会想出什么奇怪的形状。”  
——一只伐木工的海狸",-
Lapantouflemagic.2x2pile.DisplayName,中等绒毛,-
Lapantouflemagic.2x2pile.FlavorDescription,正确交替木材方向非常重要。,-
Lapantouflemagic.Longpile.DisplayName,长小堆,-
Lapantouflemagic.Longpile.Description,一个细长的小堆，用于清理难以到达的角落。,-
Lapantouflemagic.Longpile.FlavorDescription,老实说，我原本期待的是一个曲折的储存。,-
Lapantouflemagic.PitTank.DisplayName,池罐,-
Lapantouflemagic.PitTank.FlavorDescription,不要丢掉桶子，人类为了这种东西打过战争。,-
Lapantouflemagic.SCoveredtank.FlavorDescription,存水的方式并不是最好的，但至少它会保持干净。,-
Lapantouflemagic.GigargantuanPile.DisplayName,巨型储存堆,-
Lapantouflemagic.GigargantuanWarehouse.DisplayName,巨型仓库,-
Lapantouflemagic.GigargantuanStorage.Description,"存储了大量一种资源。
<color=yellow>需要梯子才能访问</color>
中央的7x1行不需要下面有支撑。
<color=#FF6EC7>顶部的玻璃面板由</color><b>WhitePaws</b><color=#FF6EC7>慷慨提供，作为自我推广活动的一部分。</color>",-
Lapantouflemagic.GigargantuanStorage.FlavorDescription,希望那不是放射性玻璃……,-
Lapantouflemagic.GigargantuanStorageWP.Description,存储一种资源的荒谬数量。中央的7x1线条不需要下面有支撑。,-
Lapantouflemagic.GigargantuanStorageWP.FlavorDescription,你真以为会有人免费给你那么多玻璃吗？谁会这么做？,-
