ID,Text,Comment
Building.SolidTubewayTunnel.Description,在地形中挖隧道，將其替換為 Solid Tubeway。使用圖層工具查看地形或結構下方。,-
Building.SolidTubewayTunnel.DisplayName,固體管道隧道,-
Building.SolidPowerShaftTunnel.Description,在地形中挖掘隧道，並用實心動力軸替換它。使用圖層工具查看地形或結構下方的情況。,-
Building.SolidPowerShaftTunnel.DisplayName,固體電力樞紐隧道,-
Building.Pathnel.Description,穿越地形隧道，並用一條路徑取代它。使用圖層工具查看地形或結構下方的情況。,-
Building.Pathnel.DisplayName,通道隧道,-
Building.PlatformPathTunnel.Description,穿越地形的隧道，將其替換為平台和小路。使用圖層工具查看地形或結構下方。,-
Building.PlatformPathTunnel.DisplayName,平台和通道隧道,-
Building.PlatformTubewayTunnel.Description,通過地形挖掘隧道，並用平台和管道替換它。使用圖層工具查看地形或結構下方的情況。,-
Building.PlatformTubewayTunnel.DisplayName,平台和隧道,-
Building.PlatformPowerShaftTunnel.Description,在地形中挖掘隧道，將其替換為平台和電源管道。使用圖層工具查看地形或結構下方的情況。,-
Building.PlatformPowerShaftTunnel.DisplayName,平台與動力軸隧道,-
