ID,Text,Comment
Good.Honey.DisplayName,ハチミツ,-
Good.Honey.PluralDisplayName,蜂蜜,-
Good.HoneyCake.DisplayName,ハニケーキ,-
Good.HoneyCake.PluralDisplayName,ハニケーキ,-
Good.Ointment.DisplayName,軟膏,-
Good.Ointment.PluralDisplayName,軟膏,-
Good.Mead.DisplayName,蜜酒,-
Good.Mead.PluralDisplayName,ミード,-
Building.HoneyHive.DisplayName,ハニーハイブ,-
Building.HoneyHive.Description,受粉は一つのことですが、蜂蜜は蜂蜜です。さあ、みんな働こう！,-
Building.HoneyHive.FlavorDescription,「粘り気のある指で生きるのは素晴らしい！」—ビーバーの子供たち,-
Building.HoneyHive.DisplaynameLocKey,ハニーハイブ,-
Building.AdvancedMedicalBed.DisplayName,高度医療用ベッド,-
Building.AdvancedMedicalBed.Description,軟膏を使って治癒プロセスをスピードアップする,-
Building.AdvancedMedicalBed.FlavorDescription,「養蜂の進歩を通じて、私たちは自分自身の健康をサポートします」 —ビーバークレーツ,-
Building.AdvancedMedicalBed.DisplaynameLocKey,高度医療用ベッド,-
Need.SweetTooth.PluralDisplayName,スイートトゥース,-
Need.HoneyCake.PluralDisplayName,ハニケーキ,-
Need.Mead.DisplayName,ミード,-
Need.Inebriation.DisplayName,酩酊状態,-
Status.Need.Inebriation,楽しむことには結果が伴います。,-
Status.Need.Inebriation.Short,ビーバーは酔っ払っている。,-
