ID,Text,Comment
menu.rotatingsun,回転する太陽オプション,-
rotatingsun.optionsheader,回転する太陽のオプション,-
rotatingsun.enablesun,太陽の回転を有効にする,-
rotatingsun.enablerotatingsunflowers,ひまわりの回転を有効にする,-
rotatingsun.SunAngleTemperateHeader,温暖な気候における太陽の角度,-
rotatingsun.SunAngleDroughtHeader,干ばつの間の日射角,-
rotatingsun.SunAngleLowTemperate,温帯の日射角が低い,-
rotatingsun.SunAngleHighTemperate,温暖な太陽角度が高い,-
rotatingsun.SunAngleLowDrought,干ばつ日の角度が低い,-
rotatingsun.SunAngleHighDrought,干ばつ 太陽角度 高い,-
rotatingsun.MoonAngle,月の角度,-
rotatingsun.SunAngleLowBadtide,バッドタイド サンアングル ロー,-
rotatingsun.SunAngleHighBadtide,バッドタイド太陽角度高,-
