ID,Text,Comment
LV.LGP.ScienceOverdrive,Global Science2Power™️ (S2P) Überlastung,-
LV.LGP.CurrentMul,Aktueller Übertrag: x{0}P bei {1}S/h,-
LV.LGP.SetMul,Zielübertragung: x{0}P bei {1}S/h,-
LV.LGP.PrevCost,Vorher: x{0}P Kosten: {1}S/h,-
LV.LGP.NextCost,Nächste: x{0}P Kosten: {1}S/h,-
LV.LGP.NoPrev,Bereits bei minimaler Multiplikation,-
LV.LGP.NoNext,Nächster: Bereits bei maximaler Vervielfältigung,-
LV.LGP.NoScience,Nicht genug Wissenschaft!,-
LV.LGP.BaseCost,Basiswissenschaftskosten,-
LV.LGP.BaseCostDesc,Die Grundwissenschaftskosten für die Berechnung. Es ist der Ausgangswert für eine benutzerdefinierte Fibonacci-Folge. Standard: 10. Sei nicht geizig :P,-
LV.LGP.MaxMul,Maximale Multiplikation,-
LV.LGP.MaxMulDesc,"Die maximale Leistungsverdopplung, die Sie anwenden können. Standard: 10.",-
