ID,Text,Comment
Faction.Emberpelts.DisplayName,Pelagens de brasa,-
Faction.Emberpelts.Description,"Os Emberpelts têm uma afinidade pela cor vermelha e gostam de se manter quentes. Às vezes, eles simplesmente gostam de ver as coisas pegarem fogo. Eles não gostam de molhar seu pelo. Seu lema: <i>Corações de fogo.</i>",-
Bot.DisplayName.Emberpelts,Emberbot {0},-
Good.Brick.DisplayName,Tijolo,-
Good.Brick.PluralDisplayName,Tijolos,-
Good.Clay.DisplayName,Argila,-
Good.Clay.PluralDisplayName,Argila,-
Good.Coal.DisplayName,Carvão vegetal,-
Good.Coal.PluralDisplayName,Carvão vegetal,-
Good.Apple.DisplayName,Maçã,-
Good.Apple.PluralDisplayName,Maçãs,-
Good.AppleJuice.DisplayName,Suco de maçã,-
Good.AppleJuice.PluralDisplayName,Suco de maçã,-
Good.Radish.DisplayName,Rabanete,-
Good.Radish.PluralDisplayName,Rabanetes,-
Good.Tomato.DisplayName,Tomate,-
Good.Tomato.PluralDisplayName,Tomates,-
Good.TomatoJuice.DisplayName,suco de tomate,-
Good.TomatoJuice.PluralDisplayName,Suco de tomate,-
Good.Beetroot.DisplayName,Beterraba,-
Good.Beetroot.PluralDisplayName,Beterrabas,-
Good.RedJuice.DisplayName,Suco de Beterraba e Rabanete,-
Good.RedJuice.PluralDisplayName,Suco de Beterraba e Rábano,-
Good.CornJuice.DisplayName,Suco de milho,-
Good.CornJuice.PluralDisplayName,suco de milho,-
Good.Pepper.DisplayName,Pimentão,-
Good.Pepper.PluralDisplayName,Pimentões,-
Good.Cornmeal.DisplayName,Fubá,-
Good.Cornmeal.PluralDisplayName,fubá,-
Good.GrilledCorn.DisplayName,Milho grelhado,-
Good.GrilledCorn.PluralDisplayName,Milho grelhado,-
Good.GrilledPepper.DisplayName,Pimentão grelhado,-
Good.GrilledPepper.PluralDisplayName,Pimentões grelhados,-
Good.ApplePie.DisplayName,Torta de Maçã,-
Good.ApplePie.PluralDisplayName,Tortas de Maçã,-
Good.Cornbread.DisplayName,Pão de milho,-
Good.Cornbread.PluralDisplayName,Pão de milho,-
Good.BakedBeetroot.DisplayName,Beterraba assada,-
Good.BakedBeetroot.PluralDisplayName,Beterrabas assadas,-
