ID,Text,Comment
LV.CBv.Title,多彩的海狸,-
LV.CBv.Reset,重置,-
LV.CBv.ResetAll,重置所有设置,-
LV.CBv.ResetAllConfirm,您确定要根据当前设置重新分配所有海狸和机器人颜色吗？,-
LV.CBv.KeybindingCopy,复制海狸颜色,-
LV.CBv.KeybindingPaste,浑浊海狸色,-
LV.CBv.AssignNamed,分配基于名称的颜色,-
LV.CBv.AssignNamedDesc,一些具有特殊名称的海狸将具有特定的颜色。可编辑文件位于：Documents\Timberborn\ColorfulBeavers\ColorNames.txt,-
LV.CBv.AssignRandom,分配随机颜色,-
LV.CBv.AssignRandomDesc,为每只海狸分配一种随机颜色。可编辑颜色列表在：Documents\Timberborn\ColorfulBeavers\RandomColors.txt,-
LV.CBv.ApplyToBot,申请机器人,-
LV.CBv.ApplyToBotDesc,将随机颜色应用于机器人。,-
