ID,Text,Comment
LV.MM.AssignHouse,分配指定住房,-
LV.MM.AssignWorkplace,分配指定工作场所,-
LV.MM.UnassignHouse,取消分配住房,-
LV.MM.UnassignWorkplace,取消分配工作场所,-
LV.MM.AssignDistrict,分配指定地区,-
LV.MM.PickDwelling,选择一间住房。,-
LV.MM.PickWorkplace,选择一个工作场所。,-
LV.MM.PickDistrict,选择一个地区中心。,-
LV.MM.ErrNoDistrict,所选建筑不属于任何地区。,-
LV.MM.SendAll,迁移到此地区：,-
LV.MM.SendSick,所有被污染的海狸,-
LV.MM.SendInjured,所有受伤的海狸,-
LV.MM.SendHomeless,素有无家可归的海狸,-
LV.MM.SendUnemployed,所有无工作的海狸,-
LV.MM.SendStuck,所有迷路的海狸,-
LV.MM.SendAllConfirm,正在将 {0} 只海狸迁移至 {1}（其中 {2} 只已在此地区）。确定要这么做吗？,-
LV.MM.SendAllNoBeavers,没有可迁移的海狸。,-
