ID,Text,Comment
Lapantouflemagic.logstairs.DisplayName,Brązowe schody z kawałków drewna,-
Lapantouflemagic.Birchlogstairs.DisplayName,Schody z kory brzozowej,-
Lapantouflemagic.Pinklogstairs.DisplayName,Schody z Everblossom,-
Lapantouflemagic.Scramblelogstairs.DisplayName,Pokruszone schody z kłód,-
Lapantouflemagic.logstairs.Description,"Stos belek ułożonych w prymitywne schody  
<color=green>Więcej wariantów dostępnych w modzie ""Więcej grup"" </color>",-
Lapantouflemagic.logstairs.FlavorDescription,"„I <i>to</i> jest powód, dla którego potrzebujemy edukacji”  
—Naukowiec bóbr",-
Lapantouflemagic.Crappyplatform_brown.DisplayName,"Brązowa, kiepska platforma",-
Lapantouflemagic.Crappyplatform_birch.DisplayName,Brzozowa Nieszczęsna Platforma,-
Lapantouflemagic.Crappyplatform_Pink.DisplayName,Everblossom Zła Platforma,-
Lapantouflemagic.Crappyplatform_scramble.DisplayName,Pomieszana Zła Platforma,-
Lapantouflemagic.Crappyplatform.Description,"Przykro mi, ale to strona, która jest źródłem wstydu dla bobrów.  
<color=green>Więcej wariantów dostępnych z modyfikacją ""Więcej grup"" </color>",-
Lapantouflemagic.Crappyplatform.FlavorDescription,"""I <i>to dlatego</i> potrzebujemy edukacji"" 
—Naukowiec bóbr",-
Logstairs.Logstairsgroup.Description,Schody z klocków drewna,-
Logstairs.Crappyplatforms.Description,Złe platformy,-
