ID,Text,Comment
Lapantouflemagic.logstairs.DisplayName,棕色木梯,-
Lapantouflemagic.Birchlogstairs.DisplayName,樺木階梯,-
Lapantouflemagic.Pinklogstairs.DisplayName,常開花木樓梯,-
Lapantouflemagic.Scramblelogstairs.DisplayName,打亂的木頭樓梯,-
Lapantouflemagic.logstairs.Description,"一堆原始階梯的木頭
<color=green>透過 ""更多群組"" 模組可獲得更多變體</color>",-
Lapantouflemagic.logstairs.FlavorDescription,"「而<i>這個</i>就是我們需要教育的原因」  
—一隻科學家海狸",-
Lapantouflemagic.Crappyplatform_brown.DisplayName,棕色爛平台,-
Lapantouflemagic.Crappyplatform_birch.DisplayName,白樺爛泥平台,-
Lapantouflemagic.Crappyplatform_Pink.DisplayName,永盛糟糕平台,-
Lapantouflemagic.Crappyplatform_scramble.DisplayName,打亂的糟糕平台,-
Lapantouflemagic.Crappyplatform.Description,一個可悲的平台，令海狸族感到尷尬。<color=green>通過「更多群組」模組可獲得更多變體</color>,-
Lapantouflemagic.Crappyplatform.FlavorDescription,"「而且<i>這個也是</i>，所以我們需要教育」  
—一隻科學家海狸",-
Logstairs.Logstairsgroup.Description,木樁樓梯,-
Logstairs.Crappyplatforms.Description,劣質平台,-
