ID,Text,Comment
Tobbert.BrickPath.DisplayName,Ścieżka z cegieł,-
Tobbert.BrickPath.Description,Inny sposób na zdywersyfikowanie swojego miasta.,-
Tobbert.BrickPath.FlavorDescription,"Nie chodź po nich, gdy na zewnątrz jest gorąco.",-
Tobbert.FrogPath.DisplayName,Ścieżka żaby,-
Tobbert.FrogPath.Description,Inna droga do zróżnicowania swojego miasta.,-
Tobbert.FrogPath.FlavorDescription,Hop-skamper hop,-
Tobbert.Gravel1Path.DisplayName,Ścieżka żwirowa 1,-
Tobbert.Gravel1Path.Description,Inny sposób na zróżnicowanie twojego miasta.,-
Tobbert.Gravel1Path.FlavorDescription,"Mam nadzieję, że moje stopy nie będą bolały po chodzeniu po tym. -- Jakiś bóbr",-
Tobbert.Gravel2Path.DisplayName,Ścieżka żwirowa 2,-
Tobbert.Gravel2Path.Description,"Inny wygląd ścieżki, aby zróżnicować swoje miasto.",-
Tobbert.Gravel2Path.FlavorDescription,"Mam nadzieję, że moje stopy nie będą boleć po chodzeniu po tym. -- Jakiś bóbr",-
Tobbert.StonePath.DisplayName,Kamienista ścieżka,-
Tobbert.StonePath.Description,Inna ścieżka do zróżnicowania twojego miasta.,-
Tobbert.StonePath.FlavorDescription,"Nie chodź po nich, gdy na zewnątrz jest gorąco.",-
Tobbert.MetalPath.DisplayName,Metalowa ścieżka,-
Tobbert.MetalPath.Description,Inna droga do zdywersyfikowania twojego miasta.,-
Tobbert.MetalPath.FlavorDescription,To jest zimne.,-
Tobbert.WoodFolktails.DisplayName,Ścieżka Baśni Leśnych,-
Tobbert.WoodFolktails.Description,Inny sposób na zróżnicowanie swojego miasta.,-
Tobbert.WoodFolktails.FlavorDescription,"To drewno, ale NIE jest tynkowane! OwO",-
Tobbert.WoodIronTeeth.DisplayName,Drewniano-Żelazna Ścieżka,-
Tobbert.WoodIronTeeth.Description,Inna droga do zróżnicowania swojego miasta.,-
Tobbert.WoodIronTeeth.FlavorDescription,"To drewno, ale NIE jest otynkowane! OwO",-
Tobbert.PlasteredWoodPath.Folktails.DisplayName,Plastrowane drewno opowieści ludowe ścieżka,-
Tobbert.PlasteredWoodPath.Folktails.Description,"Inny wygląd ścieżki, aby zdywersyfikować swoje miasto.",-
Tobbert.PlasteredWoodPath.Folktails.FlavorDescription,"To drewno, ale otynkowane! OwO",-
Tobbert.PlasteredWoodPath.IronTeeth.DisplayName,Drogę z drewnianymi zębami pokrytymi żelazem,-
Tobbert.PlasteredWoodPath.IronTeeth.Description,"Inna ścieżka, aby zdywersyfikować swoje miasto.",-
Tobbert.PlasteredWoodPath.IronTeeth.FlavorDescription,"To drewno, ale pocieniowane! OwO",-
Tobbert.CategoryPaths.DisplayName,Ścieżki,-
Tobbert.MorePaths.SettingsHeader,Ustawienia ścieżki,-
Tobbert.MorePaths.PathCornersEnabled,Włączone rogi ścieżki,-
